Journal,Year,Documents
Journal of Religion & Spirituality in Social Work,2011,24
Journal of Religion & Spirituality in Social Work,2012,21
Journal of Religion & Spirituality in Social Work,2013,23
Journal of Religion & Spirituality in Social Work,2014,14
Journal of Religion & Spirituality in Social Work,2015,5
Journal of Social Work,1996,0
Journal of Social Work,1997,0
Journal of Social Work,1998,0
Journal of Social Work,1999,0
Journal of Social Work,2000,0
Journal of Social Work,2001,0
Journal of Social Work,2002,0
Journal of Social Work,2003,0
Journal of Social Work,2004,0
Journal of Social Work,2005,0
Journal of Social Work,2006,0
Journal of Social Work,2007,0
Journal of Social Work,2008,24
Journal of Social Work,2009,26
Journal of Social Work,2010,21
Journal of Social Work,2011,28
Journal of Social Work,2012,32
Journal of Social Work,2013,35
Journal of Social Work,2014,34
Journal of Social Work,2015,5
Journal of Social Work Education,1996,20
Journal of Social Work Education,1997,0
Journal of Social Work Education,1998,10
Journal of Social Work Education,1999,29
Journal of Social Work Education,2000,33
Journal of Social Work Education,2001,30
Journal of Social Work Education,2002,42
Journal of Social Work Education,2003,31
Journal of Social Work Education,2004,28
Journal of Social Work Education,2005,38
Journal of Social Work Education,2006,40
Journal of Social Work Education,2007,35
Journal of Social Work Education,2008,51
Journal of Social Work Education,2009,25
Journal of Social Work Education,2010,30
Journal of Social Work Education,2011,39
Journal of Social Work Education,2012,52
Journal of Social Work Education,2013,59
Journal of Social Work Education,2014,46
Journal of Social Work Education,2015,44
Journal of Social Work Practice,1996,13
Journal of Social Work Practice,1997,9
Journal of Social Work Practice,1998,21
Journal of Social Work Practice,1999,18
Journal of Social Work Practice,2000,13
Journal of Social Work Practice,2001,13
Journal of Social Work Practice,2002,23
Journal of Social Work Practice,2003,17
Journal of Social Work Practice,2004,30
Journal of Social Work Practice,2005,22
Journal of Social Work Practice,2006,25
Journal of Social Work Practice,2007,34
Journal of Social Work Practice,2008,28
Journal of Social Work Practice,2009,36
Journal of Social Work Practice,2010,35
Journal of Social Work Practice,2011,34
Journal of Social Work Practice,2012,33
Journal of Social Work Practice,2013,33
Journal of Social Work Practice,2014,35
Journal of Social Work Practice,2015,17
Journal of Social Work Practice in the Addictions,1996,0
Journal of Social Work Practice in the Addictions,1997,0
Journal of Social Work Practice in the Addictions,1998,0
Journal of Social Work Practice in the Addictions,1999,0
Journal of Social Work Practice in the Addictions,2000,0
Journal of Social Work Practice in the Addictions,2001,0
Journal of Social Work Practice in the Addictions,2002,0
Journal of Social Work Practice in the Addictions,2003,0
Journal of Social Work Practice in the Addictions,2004,0
Journal of Social Work Practice in the Addictions,2005,0
Journal of Social Work Practice in the Addictions,2006,30
Journal of Social Work Practice in the Addictions,2007,17
Journal of Social Work Practice in the Addictions,2008,43
Journal of Social Work Practice in the Addictions,2009,24
Journal of Social Work Practice in the Addictions,2010,28
Journal of Social Work Practice in the Addictions,2011,28
Journal of Social Work Practice in the Addictions,2012,29
Journal of Social Work Practice in the Addictions,2013,28
Journal of Social Work Practice in the Addictions,2014,30
Journal of Social Work Practice in the Addictions,2015,9
Journal of Social Work in Disability & Rehabilitation,1996,0
Journal of Social Work in Disability & Rehabilitation,1997,0
Journal of Social Work in Disability & Rehabilitation,1998,0
Journal of Social Work in Disability & Rehabilitation,1999,0
Journal of Social Work in Disability & Rehabilitation,2000,0
Journal of Social Work in Disability & Rehabilitation,2001,0
Journal of Social Work in Disability & Rehabilitation,2002,0
Journal of Social Work in Disability & Rehabilitation,2003,0
Journal of Social Work in Disability & Rehabilitation,2004,0
Journal of Social Work in Disability & Rehabilitation,2005,0
Journal of Social Work in Disability & Rehabilitation,2006,22
Journal of Social Work in Disability & Rehabilitation,2007,23
Journal of Social Work in Disability & Rehabilitation,2008,16
Journal of Social Work in Disability & Rehabilitation,2009,14
Journal of Social Work in Disability & Rehabilitation,2010,18
Journal of Social Work in Disability & Rehabilitation,2011,17
Journal of Social Work in Disability & Rehabilitation,2012,16
Journal of Social Work in Disability & Rehabilitation,2013,19
Journal of Social Work in Disability & Rehabilitation,2014,20
Journal of Social Work in Disability & Rehabilitation,2015,4
Journal of Social Work in End-of-Life & Palliative Care,1996,0
Journal of Social Work in End-of-Life & Palliative Care,1997,0
Journal of Social Work in End-of-Life & Palliative Care,1998,0
Journal of Social Work in End-of-Life & Palliative Care,1999,0
Journal of Social Work in End-of-Life & Palliative Care,2000,0
Journal of Social Work in End-of-Life & Palliative Care,2001,0
Journal of Social Work in End-of-Life & Palliative Care,2002,0
Journal of Social Work in End-of-Life & Palliative Care,2003,0
Journal of Social Work in End-of-Life & Palliative Care,2004,0
Journal of Social Work in End-of-Life & Palliative Care,2005,14
Journal of Social Work in End-of-Life & Palliative Care,2006,24
Journal of Social Work in End-of-Life & Palliative Care,2007,25
Journal of Social Work in End-of-Life & Palliative Care,2008,25
Journal of Social Work in End-of-Life & Palliative Care,2009,14
Journal of Social Work in End-of-Life & Palliative Care,2010,17
Journal of Social Work in End-of-Life & Palliative Care,2011,30
Journal of Social Work in End-of-Life & Palliative Care,2012,28
Journal of Social Work in End-of-Life & Palliative Care,2013,30
Journal of Social Work in End-of-Life & Palliative Care,2014,30
Journal of Social Work in End-of-Life & Palliative Care,2015,7
Journal of Teaching in Social Work,1996,0
Journal of Teaching in Social Work,1997,0
Journal of Teaching in Social Work,1998,0
Journal of Teaching in Social Work,1999,0
Journal of Teaching in Social Work,2000,0
Journal of Teaching in Social Work,2001,0
Journal of Teaching in Social Work,2002,0
Journal of Teaching in Social Work,2003,0
Journal of Teaching in Social Work,2004,0
Journal of Teaching in Social Work,2005,0
Journal of Teaching in Social Work,2006,27
Journal of Teaching in Social Work,2007,35
Journal of Teaching in Social Work,2008,28
Journal of Teaching in Social Work,2009,22
Journal of Teaching in Social Work,2010,32
Journal of Teaching in Social Work,2011,43
Journal of Teaching in Social Work,2012,39
Journal of Teaching in Social Work,2013,43
Journal of Teaching in Social Work,2014,38
Journal of Teaching in Social Work,2015,0
Psychoanalytic Social Work,1996,0
Psychoanalytic Social Work,1997,0
Psychoanalytic Social Work,1998,0
Psychoanalytic Social Work,1999,0
Psychoanalytic Social Work,2000,0
Psychoanalytic Social Work,2001,0
Psychoanalytic Social Work,2002,0
Psychoanalytic Social Work,2003,0
Psychoanalytic Social Work,2004,0
Psychoanalytic Social Work,2005,5
Psychoanalytic Social Work,2006,13
Psychoanalytic Social Work,2007,9
Psychoanalytic Social Work,2008,10
Psychoanalytic Social Work,2009,10
Psychoanalytic Social Work,2010,8
Psychoanalytic Social Work,2011,10
Psychoanalytic Social Work,2012,12
Psychoanalytic Social Work,2013,9
Psychoanalytic Social Work,2014,11
Psychoanalytic Social Work,2015,6
Qualitative Social Work,1996,0
Qualitative Social Work,1997,0
Qualitative Social Work,1998,0
Qualitative Social Work,1999,0
Qualitative Social Work,2000,0
Qualitative Social Work,2001,0
Qualitative Social Work,2002,0
Qualitative Social Work,2003,0
Qualitative Social Work,2004,0
Qualitative Social Work,2005,0
Qualitative Social Work,2006,0
Qualitative Social Work,2007,29
Qualitative Social Work,2008,29
Qualitative Social Work,2009,30
Qualitative Social Work,2010,34
Qualitative Social Work,2011,31
Qualitative Social Work,2012,42
Qualitative Social Work,2013,53
Qualitative Social Work,2014,58
Qualitative Social Work,2015,27
Research on Social Work Practice,1996,35
Research on Social Work Practice,1997,28
Research on Social Work Practice,1998,41
Research on Social Work Practice,1999,42
Research on Social Work Practice,2000,37
Research on Social Work Practice,2001,40
Research on Social Work Practice,2002,46
Research on Social Work Practice,2003,41
Research on Social Work Practice,2004,44
Research on Social Work Practice,2005,49
Research on Social Work Practice,2006,58
Research on Social Work Practice,2007,66
Research on Social Work Practice,2008,58
Research on Social Work Practice,2009,71
Research on Social Work Practice,2010,68
Research on Social Work Practice,2011,64
Research on Social Work Practice,2012,71
Research on Social Work Practice,2013,67
Research on Social Work Practice,2014,68
Research on Social Work Practice,2015,22
Smith College Studies in Social Work,1996,14
Smith College Studies in Social Work,1997,29
Smith College Studies in Social Work,1998,16
Smith College Studies in Social Work,1999,28
Smith College Studies in Social Work,2000,26
Smith College Studies in Social Work,2001,24
Smith College Studies in Social Work,2002,22
Smith College Studies in Social Work,2003,26
Smith College Studies in Social Work,2004,25
Smith College Studies in Social Work,2005,19
Smith College Studies in Social Work,2006,34
Smith College Studies in Social Work,2007,12
Smith College Studies in Social Work,2008,18
Smith College Studies in Social Work,2009,29
Smith College Studies in Social Work,2010,23
Smith College Studies in Social Work,2011,18
Smith College Studies in Social Work,2012,27
Smith College Studies in Social Work,2013,25
Smith College Studies in Social Work,2014,25
Smith College Studies in Social Work,2015,6
Social Work,1996,65
Social Work,1997,54
Social Work,1998,50
Social Work,1999,42
Social Work,2000,67
Social Work,2001,39
Social Work,2002,45
Social Work,2003,65
Social Work,2004,75
Social Work,2005,46
Social Work,2006,54
Social Work,2007,52
Social Work,2008,42
Social Work,2009,42
Social Work,2010,44
Social Work,2011,44
Social Work,2012,39
Social Work,2013,49
Social Work,2014,63
Social Work,2015,14
Social Work & Society,1996,0
Social Work & Society,1997,0
Social Work & Society,1998,0
Social Work & Society,1999,0
Social Work & Society,2000,0
Social Work & Society,2001,0
Social Work & Society,2002,0
Social Work & Society,2003,0
Social Work & Society,2004,0
Social Work & Society,2005,0
Social Work & Society,2006,0
Social Work & Society,2007,0
Social Work & Society,2008,0
Social Work & Society,2009,0
Social Work & Society,2010,0
Social Work & Society,2011,0
Social Work & Society,2012,37
Social Work & Society,2013,8
Social Work & Society,2014,20
Social Work & Society,2015,7
Social Work Education,1996,0
Social Work Education,1997,0
Social Work Education,1998,0
Social Work Education,1999,0
Social Work Education,2000,0
Social Work Education,2001,0
Social Work Education,2002,0
Social Work Education,2003,0
Social Work Education,2004,0
Social Work Education,2005,0
Social Work Education,2006,0
Social Work Education,2007,0
Social Work Education,2008,72
Social Work Education,2009,70
Social Work Education,2010,67
Social Work Education,2011,74
Social Work Education,2012,79
Social Work Education,2013,79
Social Work Education,2014,67
Social Work Education,2015,26
Social Work Research,1996,22
Social Work Research,1997,23
Social Work Research,1998,22
Social Work Research,1999,19
Social Work Research,2000,18
Social Work Research,2001,16
Social Work Research,2002,17
Social Work Research,2003,20
Social Work Research,2004,22
Social Work Research,2005,21
Social Work Research,2006,22
Social Work Research,2007,24
Social Work Research,2008,33
Social Work Research,2009,24
Social Work Research,2010,25
Social Work Research,2011,27
Social Work Research,2012,29
Social Work Research,2013,41
Social Work Research,2014,22
Social Work Research,2015,7
Social Work & Social Sciences Review,1996,0
Social Work & Social Sciences Review,1997,13
Social Work & Social Sciences Review,1998,4
Social Work & Social Sciences Review,1999,0
Social Work & Social Sciences Review,2000,6
Social Work & Social Sciences Review,2001,0
Social Work & Social Sciences Review,2002,0
Social Work & Social Sciences Review,2003,0
Social Work & Social Sciences Review,2004,0
Social Work & Social Sciences Review,2005,9
Social Work & Social Sciences Review,2006,0
Social Work & Social Sciences Review,2007,13
Social Work & Social Sciences Review,2008,4
Social Work & Social Sciences Review,2009,12
Social Work & Social Sciences Review,2010,28
Social Work & Social Sciences Review,2011,28
Social Work & Social Sciences Review,2012,6
Social Work & Social Sciences Review,2013,14
Social Work & Social Sciences Review,2014,13
Social Work & Social Sciences Review,2015,0
Social Work in Health Care,1996,40
Social Work in Health Care,1997,57
Social Work in Health Care,1998,42
Social Work in Health Care,1999,30
Social Work in Health Care,2000,58
Social Work in Health Care,2001,57
Social Work in Health Care,2002,36
Social Work in Health Care,2003,41
Social Work in Health Care,2004,55
Social Work in Health Care,2005,36
Social Work in Health Care,2006,40
Social Work in Health Care,2007,56
Social Work in Health Care,2008,40
Social Work in Health Care,2009,51
Social Work in Health Care,2010,55
Social Work in Health Care,2011,54
Social Work in Health Care,2012,59
Social Work in Health Care,2013,56
Social Work in Health Care,2014,63
Social Work in Health Care,2015,15
Social Work in Mental Health,1996,0
Social Work in Mental Health,1997,0
Social Work in Mental Health,1998,0
Social Work in Mental Health,1999,0
Social Work in Mental Health,2000,0
Social Work in Mental Health,2001,0
Social Work in Mental Health,2002,0
Social Work in Mental Health,2003,0
Social Work in Mental Health,2004,11
Social Work in Mental Health,2005,21
Social Work in Mental Health,2006,11
Social Work in Mental Health,2007,17
Social Work in Mental Health,2008,31
Social Work in Mental Health,2009,36
Social Work in Mental Health,2010,27
Social Work in Mental Health,2011,31
Social Work in Mental Health,2012,27
Social Work in Mental Health,2013,31
Social Work in Mental Health,2014,32
Social Work in Mental Health,2015,20
Social Work in Public Health,1996,0
Social Work in Public Health,1997,0
Social Work in Public Health,1998,0
Social Work in Public Health,1999,0
Social Work in Public Health,2000,0
Social Work in Public Health,2001,0
Social Work in Public Health,2002,0
Social Work in Public Health,2003,0
Social Work in Public Health,2004,0
Social Work in Public Health,2005,0
Social Work in Public Health,2006,0
Social Work in Public Health,2007,0
Social Work in Public Health,2008,44
Social Work in Public Health,2009,44
Social Work in Public Health,2010,38
Social Work in Public Health,2011,48
Social Work in Public Health,2012,44
Social Work in Public Health,2013,57
Social Work in Public Health,2014,59
Social Work in Public Health,2015,25
Social Work With Groups,1996,0
Social Work With Groups,1997,0
Social Work With Groups,1998,0
Social Work With Groups,1999,0
Social Work With Groups,2000,0
Social Work With Groups,2001,0
Social Work With Groups,2002,0
Social Work With Groups,2003,0
Social Work With Groups,2004,0
Social Work With Groups,2005,6
Social Work With Groups,2006,52
Social Work With Groups,2007,22
Social Work With Groups,2008,22
Social Work With Groups,2009,16
Social Work With Groups,2010,25
Social Work With Groups,2011,26
Social Work With Groups,2012,27
Social Work With Groups,2013,29
Social Work With Groups,2014,27
Social Work With Groups,2015,13
Maatskaplike Werk,1996,38
Maatskaplike Werk,1997,28
Maatskaplike Werk,1998,29
Maatskaplike Werk,1999,30
Maatskaplike Werk,2000,31
Maatskaplike Werk,2001,31
Maatskaplike Werk,2002,26
Maatskaplike Werk,2003,33
Maatskaplike Werk,2004,34
Maatskaplike Werk,2005,31
Maatskaplike Werk,2006,27
Maatskaplike Werk,2007,30
Maatskaplike Werk,2008,32
Maatskaplike Werk,2009,38
Maatskaplike Werk,2010,37
Maatskaplike Werk,2011,35
Maatskaplike Werk,2012,34
Maatskaplike Werk,2013,38
Maatskaplike Werk,2014,37
Maatskaplike Werk,2015,0
Journal of Gay & Lesbian Social Services,1997,0
Journal of Gay & Lesbian Social Services,1998,0
Journal of Gay & Lesbian Social Services,1999,0
Journal of Gay & Lesbian Social Services,2000,0
Journal of Gay & Lesbian Social Services,2001,0
Journal of Gay & Lesbian Social Services,2002,0
Journal of Gay & Lesbian Social Services,2003,0
Journal of Gay & Lesbian Social Services,2004,0
Journal of Gay & Lesbian Social Services,2005,6
Journal of Gay & Lesbian Social Services,2006,29
Journal of Gay & Lesbian Social Services,2007,32
Journal of Gay & Lesbian Social Services,2008,22
Journal of Gay & Lesbian Social Services,2009,26
Journal of Gay & Lesbian Social Services,2010,28
Journal of Gay & Lesbian Social Services,2011,27
Journal of Gay & Lesbian Social Services,2012,22
Journal of Gay & Lesbian Social Services,2013,26
Journal of Gay & Lesbian Social Services,2014,24
Journal of Gay & Lesbian Social Services,2015,7
Journal of HIV/AIDS & Social Services,1996,0
Journal of HIV/AIDS & Social Services,1997,0
Journal of HIV/AIDS & Social Services,1998,0
Journal of HIV/AIDS & Social Services,1999,0
Journal of HIV/AIDS & Social Services,2000,0
Journal of HIV/AIDS & Social Services,2001,0
Journal of HIV/AIDS & Social Services,2002,15
Journal of HIV/AIDS & Social Services,2003,11
Journal of HIV/AIDS & Social Services,2004,21
Journal of HIV/AIDS & Social Services,2005,26
Journal of HIV/AIDS & Social Services,2006,29
Journal of HIV/AIDS & Social Services,2007,23
Journal of HIV/AIDS & Social Services,2008,23
