"journal","pubYear","n","N","N.year.overall","N.percent","years_avail"
"Administration in Social Work","2003","3",1,19,5.26315789473684,4
"Administration in Social Work","2003","4+",2,19,10.5263157894737,4
"Administration in Social Work","2004","1",9,23,39.1304347826087,4
"Administration in Social Work","2004","2",8,23,34.7826086956522,4
"Administration in Social Work","2004","3",3,23,13.0434782608696,4
"Administration in Social Work","2004","4+",3,23,13.0434782608696,4
"Administration in Social Work","2005","1",12,22,54.5454545454545,3
"Administration in Social Work","2005","2",6,22,27.2727272727273,3
"Administration in Social Work","2005","3",4,22,18.1818181818182,3
"Administration in Social Work","2006","1",7,19,36.8421052631579,4
"Administration in Social Work","2006","2",8,19,42.1052631578947,4
"Administration in Social Work","2006","3",3,19,15.7894736842105,4
"Administration in Social Work","2006","4+",1,19,5.26315789473684,4
"Administration in Social Work","2007","1",10,27,37.037037037037,4
"Administration in Social Work","2007","2",9,27,33.3333333333333,4
"Administration in Social Work","2007","3",3,27,11.1111111111111,4
"Administration in Social Work","2007","4+",5,27,18.5185185185185,4
"Administration in Social Work","2008","1",5,18,27.7777777777778,4
"Administration in Social Work","2008","2",7,18,38.8888888888889,4
"Administration in Social Work","2008","3",2,18,11.1111111111111,4
"Administration in Social Work","2008","4+",4,18,22.2222222222222,4
"Administration in Social Work","2009","1",7,26,26.9230769230769,4
"Administration in Social Work","2009","2",8,26,30.7692307692308,4
"Administration in Social Work","2009","3",7,26,26.9230769230769,4
"Administration in Social Work","2009","4+",4,26,15.3846153846154,4
"Administration in Social Work","2010","1",12,27,44.4444444444444,4
"Administration in Social Work","2010","2",10,27,37.037037037037,4
"Administration in Social Work","2010","3",3,27,11.1111111111111,4
"Administration in Social Work","2010","4+",2,27,7.40740740740741,4
"Administration in Social Work","2011","1",8,28,28.5714285714286,4
"Administration in Social Work","2011","2",7,28,25,4
"Administration in Social Work","2011","3",4,28,14.2857142857143,4
"Administration in Social Work","2011","4+",9,28,32.1428571428571,4
"Administration in Social Work","2012","1",5,26,19.2307692307692,4
"Administration in Social Work","2012","2",12,26,46.1538461538462,4
"Administration in Social Work","2012","3",6,26,23.0769230769231,4
"Administration in Social Work","2012","4+",3,26,11.5384615384615,4
"Administration in Social Work","2013","1",12,36,33.3333333333333,4
"Administration in Social Work","2013","2",10,36,27.7777777777778,4
"Administration in Social Work","2013","3",6,36,16.6666666666667,4
"Administration in Social Work","2013","4+",8,36,22.2222222222222,4
"Advances in Social Work","2000","1",3,13,23.0769230769231,4
"Advances in Social Work","2000","2",5,13,38.4615384615385,4
"Advances in Social Work","2000","3",4,13,30.7692307692308,4
"Advances in Social Work","2000","4+",1,13,7.69230769230769,4
"Advances in Social Work","2001","1",4,13,30.7692307692308,4
"Advances in Social Work","2001","2",2,13,15.3846153846154,4
"Advances in Social Work","2001","3",5,13,38.4615384615385,4
"Advances in Social Work","2001","4+",2,13,15.3846153846154,4
"Advances in Social Work","2002","1",5,12,41.6666666666667,4
"Advances in Social Work","2002","2",4,12,33.3333333333333,4
"Advances in Social Work","2002","3",2,12,16.6666666666667,4
"Advances in Social Work","2002","4+",1,12,8.33333333333333,4
"Advances in Social Work","2003","1",1,7,14.2857142857143,3
"Advances in Social Work","2003","2",3,7,42.8571428571429,3
"Advances in Social Work","2003","3",3,7,42.8571428571429,3
"Advances in Social Work","2004","1",7,14,50,4
"Advances in Social Work","2004","2",4,14,28.5714285714286,4
"Advances in Social Work","2004","3",2,14,14.2857142857143,4
"Advances in Social Work","2004","4+",1,14,7.14285714285714,4
"Advances in Social Work","2005","1",17,27,62.962962962963,4
"Advances in Social Work","2005","2",7,27,25.9259259259259,4
"Advances in Social Work","2005","3",2,27,7.40740740740741,4
"Advances in Social Work","2005","4+",1,27,3.7037037037037,4
"Advances in Social Work","2006","1",6,14,42.8571428571429,4
"Advances in Social Work","2006","2",3,14,21.4285714285714,4
"Advances in Social Work","2006","3",2,14,14.2857142857143,4
"Advances in Social Work","2006","4+",3,14,21.4285714285714,4
"Advances in Social Work","2007","1",15,25,60,4
"Advances in Social Work","2007","2",6,25,24,4
"Advances in Social Work","2007","3",1,25,4,4
"Advances in Social Work","2007","4+",3,25,12,4
"Advances in Social Work","2008","1",6,14,42.8571428571429,4
"Advances in Social Work","2008","2",3,14,21.4285714285714,4
"Advances in Social Work","2008","3",3,14,21.4285714285714,4
"Advances in Social Work","2008","4+",2,14,14.2857142857143,4
"Advances in Social Work","2009","1",5,14,35.7142857142857,4
"Advances in Social Work","2009","2",3,14,21.4285714285714,4
"Advances in Social Work","2009","3",5,14,35.7142857142857,4
"Advances in Social Work","2009","4+",1,14,7.14285714285714,4
"Advances in Social Work","2010","1",4,19,21.0526315789474,4
"Advances in Social Work","2010","2",9,19,47.3684210526316,4
"Advances in Social Work","2010","3",2,19,10.5263157894737,4
"Advances in Social Work","2010","4+",4,19,21.0526315789474,4
"Advances in Social Work","2011","1",10,25,40,4
"Advances in Social Work","2011","2",4,25,16,4
"Advances in Social Work","2011","3",8,25,32,4
"Advances in Social Work","2011","4+",3,25,12,4
"Advances in Social Work","2012","1",15,38,39.4736842105263,4
"Advances in Social Work","2012","2",10,38,26.3157894736842,4
"Advances in Social Work","2012","3",7,38,18.4210526315789,4
"Advances in Social Work","2012","4+",6,38,15.7894736842105,4
"Affilia","1989","1",25,30,83.3333333333333,3
"Affilia","1989","2",3,30,10,3
"Affilia","1989","3",2,30,6.66666666666667,3
"Affilia","1990","1",20,29,68.9655172413793,2
"Affilia","1990","2",9,29,31.0344827586207,2
"Affilia","1991","1",35,39,89.7435897435898,3
"Affilia","1991","2",3,39,7.69230769230769,3
"Affilia","1991","4+",1,39,2.56410256410256,3
"Affilia","1992","1",24,34,70.5882352941177,3
"Affilia","1992","2",7,34,20.5882352941176,3
"Affilia","1992","3",3,34,8.82352941176471,3
"Affilia","1993","1",25,34,73.5294117647059,4
"Affilia","1993","2",5,34,14.7058823529412,4
"Affilia","1993","3",1,34,2.94117647058824,4
"Affilia","1993","4+",3,34,8.82352941176471,4
"Affilia","1994","1",18,28,64.2857142857143,3
"Affilia","1994","2",8,28,28.5714285714286,3
"Affilia","1994","3",2,28,7.14285714285714,3
"Affilia","1995","1",19,29,65.5172413793103,4
"Affilia","1995","2",8,29,27.5862068965517,4
"Affilia","1995","3",1,29,3.44827586206897,4
"Affilia","1995","4+",1,29,3.44827586206897,4
"Affilia","1996","1",9,19,47.3684210526316,4
"Affilia","1996","2",7,19,36.8421052631579,4
"Affilia","1996","3",1,19,5.26315789473684,4
"Affilia","1996","4+",2,19,10.5263157894737,4
"Affilia","1997","1",32,42,76.1904761904762,3
"Affilia","1997","2",7,42,16.6666666666667,3
"Affilia","1997","3",3,42,7.14285714285714,3
"Affilia","1998","1",9,20,45,3
"Affilia","1998","2",6,20,30,3
"Affilia","1998","3",5,20,25,3
"Affilia","1999","1",10,21,47.6190476190476,4
"Affilia","1999","2",5,21,23.8095238095238,4
"Affilia","1999","3",5,21,23.8095238095238,4
"Affilia","1999","4+",1,21,4.76190476190476,4
"Affilia","2000","1",13,26,50,4
"Affilia","2000","2",8,26,30.7692307692308,4
"Affilia","2000","3",1,26,3.84615384615385,4
"Affilia","2000","4+",4,26,15.3846153846154,4
"Affilia","2001","1",10,20,50,4
"Affilia","2001","2",6,20,30,4
"Affilia","2001","3",3,20,15,4
"Affilia","2001","4+",1,20,5,4
"Affilia","2002","1",17,24,70.8333333333333,3
"Affilia","2002","2",6,24,25,3
"Affilia","2002","3",1,24,4.16666666666667,3
"Affilia","2003","1",14,26,53.8461538461538,4
"Affilia","2003","2",7,26,26.9230769230769,4
"Affilia","2003","3",4,26,15.3846153846154,4
"Affilia","2003","4+",1,26,3.84615384615385,4
"Affilia","2004","1",14,25,56,4
"Affilia","2004","2",6,25,24,4
"Affilia","2004","3",1,25,4,4
"Affilia","2004","4+",4,25,16,4
"Affilia","2005","1",14,28,50,3
"Affilia","2005","2",10,28,35.7142857142857,3
"Affilia","2005","3",4,28,14.2857142857143,3
"Affilia","2006","1",15,33,45.4545454545455,4
"Affilia","2006","2",12,33,36.3636363636364,4
"Affilia","2006","3",3,33,9.09090909090909,4
"Affilia","2006","4+",3,33,9.09090909090909,4
"Affilia","2007","1",8,14,57.1428571428571,4
"Affilia","2007","2",3,14,21.4285714285714,4
"Affilia","2007","3",1,14,7.14285714285714,4
"Affilia","2007","4+",2,14,14.2857142857143,4
"Affilia","2008","1",14,26,53.8461538461538,4
"Affilia","2008","2",7,26,26.9230769230769,4
"Affilia","2008","3",2,26,7.69230769230769,4
"Affilia","2008","4+",3,26,11.5384615384615,4
"Affilia","2009","1",14,27,51.8518518518518,4
"Affilia","2009","2",5,27,18.5185185185185,4
"Affilia","2009","3",4,27,14.8148148148148,4
"Affilia","2009","4+",4,27,14.8148148148148,4
"Affilia","2010","1",6,26,23.0769230769231,4
"Affilia","2010","2",10,26,38.4615384615385,4
"Affilia","2010","3",8,26,30.7692307692308,4
"Affilia","2010","4+",2,26,7.69230769230769,4
"Affilia","2011","1",15,28,53.5714285714286,4
"Affilia","2011","2",7,28,25,4
"Affilia","2011","3",4,28,14.2857142857143,4
"Affilia","2011","4+",2,28,7.14285714285714,4
"Affilia","2012","1",16,31,51.6129032258064,4
"Affilia","2012","2",8,31,25.8064516129032,4
"Affilia","2012","3",6,31,19.3548387096774,4
"Affilia","2012","4+",1,31,3.2258064516129,4
"Affilia","2013","1",17,33,51.5151515151515,4
"Affilia","2013","2",8,33,24.2424242424242,4
"Affilia","2013","3",4,33,12.1212121212121,4
"Affilia","2013","4+",4,33,12.1212121212121,4
"Arete","1989","1",2,8,25,3
"Arete","1989","2",5,8,62.5,3
"Arete","1989","3",1,8,12.5,3
"Arete","1990","1",3,8,37.5,3
"Arete","1990","2",4,8,50,3
"Arete","1990","3",1,8,12.5,3
"Arete","1991","1",7,13,53.8461538461538,4
"Arete","1991","2",2,13,15.3846153846154,4
"Arete","1991","3",3,13,23.0769230769231,4
"Arete","1991","4+",1,13,7.69230769230769,4
"Arete","1992","1",4,10,40,3
"Arete","1992","2",5,10,50,3
"Arete","1992","3",1,10,10,3
"Arete","1993","1",1,4,25,3
"Arete","1993","2",1,4,25,3
"Arete","1993","3",2,4,50,3
"Arete","1994","1",6,14,42.8571428571429,4
"Arete","1994","2",6,14,42.8571428571429,4
"Arete","1994","3",1,14,7.14285714285714,4
"Arete","1994","4+",1,14,7.14285714285714,4
"Arete","1995","1",5,13,38.4615384615385,4
"Arete","1995","2",4,13,30.7692307692308,4
"Arete","1995","3",1,13,7.69230769230769,4
"Arete","1995","4+",3,13,23.0769230769231,4
"Arete","1996","1",1,6,16.6666666666667,3
"Arete","1996","2",2,6,33.3333333333333,3
"Arete","1996","3",3,6,50,3
"Arete","1997","1",6,12,50,3
"Arete","1997","2",4,12,33.3333333333333,3
"Arete","1997","3",2,12,16.6666666666667,3
"Arete","1998","1",1,6,16.6666666666667,4
"Arete","1998","2",3,6,50,4
"Arete","1998","3",1,6,16.6666666666667,4
"Arete","1998","4+",1,6,16.6666666666667,4
"Arete","1999","1",16,25,64,3
"Arete","1999","2",8,25,32,3
"Arete","1999","3",1,25,4,3
"Arete","2000","1",5,15,33.3333333333333,3
"Arete","2000","2",9,15,60,3
"Arete","2000","4+",1,15,6.66666666666667,3
"Arete","2001","1",7,18,38.8888888888889,4
"Arete","2001","2",9,18,50,4
"Arete","2001","3",1,18,5.55555555555556,4
"Arete","2001","4+",1,18,5.55555555555556,4
"Arete","2002","1",18,31,58.0645161290323,4
"Arete","2002","2",8,31,25.8064516129032,4
"Arete","2002","3",4,31,12.9032258064516,4
"Arete","2002","4+",1,31,3.2258064516129,4
"Arete","2003","1",18,25,72,4
"Arete","2003","2",2,25,8,4
"Arete","2003","3",3,25,12,4
"Arete","2003","4+",2,25,8,4
"Arete","2004","1",17,19,89.4736842105263,2
"Arete","2004","2",2,19,10.5263157894737,2
"Arete","2005","1",16,22,72.7272727272727,3
"Arete","2005","2",5,22,22.7272727272727,3
"Arete","2005","3",1,22,4.54545454545455,3
"Arete","2006","1",6,6,100,1
"Arete","2007","1",10,10,100,1
"Arete","2008","1",10,10,100,1
"Arete","2009","1",8,18,44.4444444444444,3
"Arete","2009","2",8,18,44.4444444444444,3
"Arete","2009","3",2,18,11.1111111111111,3
"Arete","2010","1",10,13,76.9230769230769,2
"Arete","2010","3",3,13,23.0769230769231,2
"Arete","2011","1",15,15,100,1
"Arete","2012","1",14,14,100,1
"Arete","2013","1",13,14,92.8571428571429,2
"Arete","2013","2",1,14,7.14285714285714,2
"Asia Pacific Journal of Social Work & Development","1997","1",4,7,57.1428571428571,3
"Asia Pacific Journal of Social Work & Development","1997","2",1,7,14.2857142857143,3
"Asia Pacific Journal of Social Work & Development","1997","3",2,7,28.5714285714286,3
"Asia Pacific Journal of Social Work & Development","1998","1",9,16,56.25,4
"Asia Pacific Journal of Social Work & Development","1998","2",5,16,31.25,4
"Asia Pacific Journal of Social Work & Development","1998","3",1,16,6.25,4
"Asia Pacific Journal of Social Work & Development","1998","4+",1,16,6.25,4
"Asia Pacific Journal of Social Work & Development","1999","1",5,7,71.4285714285714,3
"Asia Pacific Journal of Social Work & Development","1999","2",1,7,14.2857142857143,3
"Asia Pacific Journal of Social Work & Development","1999","3",1,7,14.2857142857143,3
"Asia Pacific Journal of Social Work & Development","2003","1",5,6,83.3333333333333,2
"Asia Pacific Journal of Social Work & Development","2003","2",1,6,16.6666666666667,2
"Asian Social Work & Policy Review","2011","1",6,14,42.8571428571429,3
"Asian Social Work & Policy Review","2011","2",7,14,50,3
"Asian Social Work & Policy Review","2011","4+",1,14,7.14285714285714,3
"Asian Social Work & Policy Review","2012","1",7,17,41.1764705882353,3
"Asian Social Work & Policy Review","2012","2",7,17,41.1764705882353,3
"Asian Social Work & Policy Review","2012","4+",3,17,17.6470588235294,3
"Asian Social Work & Policy Review","2013","1",8,17,47.0588235294118,4
"Asian Social Work & Policy Review","2013","2",5,17,29.4117647058824,4
"Asian Social Work & Policy Review","2013","3",3,17,17.6470588235294,4
"Asian Social Work & Policy Review","2013","4+",1,17,5.88235294117647,4
"Australian Social Work","2006","1",13,29,44.8275862068966,4
"Australian Social Work","2006","2",7,29,24.1379310344828,4
"Australian Social Work","2006","3",4,29,13.7931034482759,4
"Australian Social Work","2006","4+",5,29,17.2413793103448,4
"Australian Social Work","2007","1",17,29,58.6206896551724,3
"Australian Social Work","2007","2",9,29,31.0344827586207,3
"Australian Social Work","2007","4+",3,29,10.3448275862069,3
"Australian Social Work","2008","1",12,22,54.5454545454545,4
"Australian Social Work","2008","2",7,22,31.8181818181818,4
"Australian Social Work","2008","3",2,22,9.09090909090909,4
"Australian Social Work","2008","4+",1,22,4.54545454545455,4
"Australian Social Work","2009","1",13,30,43.3333333333333,4
"Australian Social Work","2009","2",5,30,16.6666666666667,4
"Australian Social Work","2009","3",9,30,30,4
"Australian Social Work","2009","4+",3,30,10,4
"Australian Social Work","2010","1",13,27,48.1481481481481,4
"Australian Social Work","2010","2",9,27,33.3333333333333,4
"Australian Social Work","2010","3",3,27,11.1111111111111,4
"Australian Social Work","2010","4+",2,27,7.40740740740741,4
"Australian Social Work","2011","1",12,34,35.2941176470588,4
"Australian Social Work","2011","2",8,34,23.5294117647059,4
"Australian Social Work","2011","3",9,34,26.4705882352941,4
"Australian Social Work","2011","4+",5,34,14.7058823529412,4
"Australian Social Work","2012","1",11,34,32.3529411764706,4
"Australian Social Work","2012","2",10,34,29.4117647058824,4
"Australian Social Work","2012","3",9,34,26.4705882352941,4
"Australian Social Work","2012","4+",4,34,11.7647058823529,4
"Australian Social Work","2013","1",12,39,30.7692307692308,4
"Australian Social Work","2013","2",18,39,46.1538461538462,4
"Australian Social Work","2013","3",4,39,10.2564102564103,4
"Australian Social Work","2013","4+",5,39,12.8205128205128,4
"British Journal of Social Work","1989","1",12,26,46.1538461538462,3
"British Journal of Social Work","1989","2",10,26,38.4615384615385,3
"British Journal of Social Work","1989","3",4,26,15.3846153846154,3
"British Journal of Social Work","1990","1",22,36,61.1111111111111,4
"British Journal of Social Work","1990","2",10,36,27.7777777777778,4
"British Journal of Social Work","1990","3",2,36,5.55555555555556,4
"British Journal of Social Work","1990","4+",2,36,5.55555555555556,4
"British Journal of Social Work","1991","1",15,32,46.875,4
"British Journal of Social Work","1991","2",11,32,34.375,4
"British Journal of Social Work","1991","3",3,32,9.375,4
"British Journal of Social Work","1991","4+",3,32,9.375,4
"British Journal of Social Work","1992","1",17,34,50,4
"British Journal of Social Work","1992","2",12,34,35.2941176470588,4
"British Journal of Social Work","1992","3",2,34,5.88235294117647,4
"British Journal of Social Work","1992","4+",3,34,8.82352941176471,4
"British Journal of Social Work","1993","1",21,31,67.741935483871,3
"British Journal of Social Work","1993","2",8,31,25.8064516129032,3
"British Journal of Social Work","1993","3",2,31,6.45161290322581,3
"British Journal of Social Work","1994","1",19,25,76,3
"British Journal of Social Work","1994","2",5,25,20,3
"British Journal of Social Work","1994","3",1,25,4,3
"British Journal of Social Work","1995","1",15,27,55.5555555555556,4
"British Journal of Social Work","1995","2",7,27,25.9259259259259,4
"British Journal of Social Work","1995","3",4,27,14.8148148148148,4
"British Journal of Social Work","1995","4+",1,27,3.7037037037037,4
"British Journal of Social Work","1996","1",9,24,37.5,4
"British Journal of Social Work","1996","2",11,24,45.8333333333333,4
"British Journal of Social Work","1996","3",2,24,8.33333333333333,4
"British Journal of Social Work","1996","4+",2,24,8.33333333333333,4
"British Journal of Social Work","1997","1",18,31,58.0645161290323,3
"British Journal of Social Work","1997","2",10,31,32.258064516129,3
"British Journal of Social Work","1997","3",3,31,9.67741935483871,3
"British Journal of Social Work","1998","1",17,31,54.8387096774194,4
"British Journal of Social Work","1998","2",10,31,32.258064516129,4
"British Journal of Social Work","1998","3",2,31,6.45161290322581,4
"British Journal of Social Work","1998","4+",2,31,6.45161290322581,4
"British Journal of Social Work","1999","1",21,36,58.3333333333333,4
"British Journal of Social Work","1999","2",8,36,22.2222222222222,4
"British Journal of Social Work","1999","3",4,36,11.1111111111111,4
"British Journal of Social Work","1999","4+",3,36,8.33333333333333,4
"British Journal of Social Work","2000","1",34,48,70.8333333333333,4
"British Journal of Social Work","2000","2",10,48,20.8333333333333,4
"British Journal of Social Work","2000","3",2,48,4.16666666666667,4
"British Journal of Social Work","2000","4+",2,48,4.16666666666667,4
"British Journal of Social Work","2001","1",34,48,70.8333333333333,4
"British Journal of Social Work","2001","2",11,48,22.9166666666667,4
"British Journal of Social Work","2001","3",2,48,4.16666666666667,4
"British Journal of Social Work","2001","4+",1,48,2.08333333333333,4
"British Journal of Social Work","2002","1",38,62,61.2903225806452,4
"British Journal of Social Work","2002","2",19,62,30.6451612903226,4
"British Journal of Social Work","2002","3",3,62,4.83870967741935,4
"British Journal of Social Work","2002","4+",2,62,3.2258064516129,4
"British Journal of Social Work","2003","1",33,61,54.0983606557377,4
"British Journal of Social Work","2003","2",13,61,21.3114754098361,4
"British Journal of Social Work","2003","3",10,61,16.3934426229508,4
"British Journal of Social Work","2003","4+",5,61,8.19672131147541,4
"British Journal of Social Work","2004","1",20,56,35.7142857142857,4
"British Journal of Social Work","2004","2",21,56,37.5,4
"British Journal of Social Work","2004","3",8,56,14.2857142857143,4
"British Journal of Social Work","2004","4+",7,56,12.5,4
"British Journal of Social Work","2005","1",26,67,38.8059701492537,4
"British Journal of Social Work","2005","2",24,67,35.8208955223881,4
"British Journal of Social Work","2005","3",6,67,8.95522388059701,4
"British Journal of Social Work","2005","4+",11,67,16.4179104477612,4
"British Journal of Social Work","2006","1",30,75,40,4
"British Journal of Social Work","2006","2",21,75,28,4
"British Journal of Social Work","2006","3",18,75,24,4
"British Journal of Social Work","2006","4+",6,75,8,4
"British Journal of Social Work","2007","1",39,74,52.7027027027027,4
"British Journal of Social Work","2007","2",16,74,21.6216216216216,4
"British Journal of Social Work","2007","3",7,74,9.45945945945946,4
"British Journal of Social Work","2007","4+",12,74,16.2162162162162,4
"British Journal of Social Work","2008","1",38,81,46.9135802469136,4
"British Journal of Social Work","2008","2",28,81,34.5679012345679,4
"British Journal of Social Work","2008","3",7,81,8.64197530864197,4
"British Journal of Social Work","2008","4+",8,81,9.87654320987654,4
"British Journal of Social Work","2009","1",43,87,49.4252873563218,4
"British Journal of Social Work","2009","2",20,87,22.9885057471264,4
"British Journal of Social Work","2009","3",10,87,11.4942528735632,4
"British Journal of Social Work","2009","4+",14,87,16.0919540229885,4
"British Journal of Social Work","2010","1",51,131,38.9312977099237,4
"British Journal of Social Work","2010","2",46,131,35.1145038167939,4
"British Journal of Social Work","2010","3",17,131,12.9770992366412,4
"British Journal of Social Work","2010","4+",17,131,12.9770992366412,4
"British Journal of Social Work","2011","1",33,84,39.2857142857143,4
"British Journal of Social Work","2011","2",27,84,32.1428571428571,4
"British Journal of Social Work","2011","3",10,84,11.9047619047619,4
"British Journal of Social Work","2011","4+",14,84,16.6666666666667,4
"British Journal of Social Work","2012","1",33,77,42.8571428571429,4
"British Journal of Social Work","2012","2",25,77,32.4675324675325,4
"British Journal of Social Work","2012","3",9,77,11.6883116883117,4
"British Journal of Social Work","2012","4+",10,77,12.987012987013,4
"British Journal of Social Work","2013","1",29,82,35.3658536585366,4
"British Journal of Social Work","2013","2",25,82,30.4878048780488,4
"British Journal of Social Work","2013","3",17,82,20.7317073170732,4
"British Journal of Social Work","2013","4+",11,82,13.4146341463415,4
"Canadian Social Work","1999","1",6,11,54.5454545454545,3
"Canadian Social Work","1999","2",4,11,36.3636363636364,3
"Canadian Social Work","1999","4+",1,11,9.09090909090909,3
"Canadian Social Work","2001","1",4,9,44.4444444444444,4
"Canadian Social Work","2001","2",2,9,22.2222222222222,4
"Canadian Social Work","2001","3",2,9,22.2222222222222,4
"Canadian Social Work","2001","4+",1,9,11.1111111111111,4
"Canadian Social Work","2002","1",7,13,53.8461538461538,4
"Canadian Social Work","2002","2",2,13,15.3846153846154,4
"Canadian Social Work","2002","3",3,13,23.0769230769231,4
"Canadian Social Work","2002","4+",1,13,7.69230769230769,4
"Canadian Social Work","2003","1",4,10,40,3
"Canadian Social Work","2003","2",4,10,40,3
"Canadian Social Work","2003","4+",2,10,20,3
"Canadian Social Work","2005","1",3,8,37.5,4
"Canadian Social Work","2005","2",1,8,12.5,4
"Canadian Social Work","2005","3",2,8,25,4
"Canadian Social Work","2005","4+",2,8,25,4
"Canadian Social Work","2012","1",1,1,100,1
"Canadian Social Work Review","1989","1",8,15,53.3333333333333,3
"Canadian Social Work Review","1989","2",6,15,40,3
"Canadian Social Work Review","1989","3",1,15,6.66666666666667,3
"Canadian Social Work Review","1990","1",10,17,58.8235294117647,2
"Canadian Social Work Review","1990","2",7,17,41.1764705882353,2
"Canadian Social Work Review","1991","1",6,16,37.5,4
"Canadian Social Work Review","1991","2",7,16,43.75,4
"Canadian Social Work Review","1991","3",2,16,12.5,4
"Canadian Social Work Review","1991","4+",1,16,6.25,4
"Canadian Social Work Review","1992","1",11,13,84.6153846153846,3
"Canadian Social Work Review","1992","2",1,13,7.69230769230769,3
"Canadian Social Work Review","1992","4+",1,13,7.69230769230769,3
"Canadian Social Work Review","1993","1",4,8,50,3
"Canadian Social Work Review","1993","2",2,8,25,3
"Canadian Social Work Review","1993","3",2,8,25,3
"Canadian Social Work Review","1994","1",9,13,69.2307692307692,2
"Canadian Social Work Review","1994","2",4,13,30.7692307692308,2
"Canadian Social Work Review","1995","1",11,14,78.5714285714286,3
"Canadian Social Work Review","1995","2",2,14,14.2857142857143,3
"Canadian Social Work Review","1995","3",1,14,7.14285714285714,3
"Canadian Social Work Review","1996","1",8,13,61.5384615384615,4
"Canadian Social Work Review","1996","2",2,13,15.3846153846154,4
"Canadian Social Work Review","1996","3",1,13,7.69230769230769,4
"Canadian Social Work Review","1996","4+",2,13,15.3846153846154,4
"Canadian Social Work Review","1997","1",4,12,33.3333333333333,4
"Canadian Social Work Review","1997","2",3,12,25,4
"Canadian Social Work Review","1997","3",2,12,16.6666666666667,4
"Canadian Social Work Review","1997","4+",3,12,25,4
"Canadian Social Work Review","1998","1",8,12,66.6666666666667,3
"Canadian Social Work Review","1998","2",2,12,16.6666666666667,3
"Canadian Social Work Review","1998","4+",2,12,16.6666666666667,3
"Canadian Social Work Review","1999","1",6,14,42.8571428571429,3
"Canadian Social Work Review","1999","2",5,14,35.7142857142857,3
"Canadian Social Work Review","1999","4+",3,14,21.4285714285714,3
"Canadian Social Work Review","2000","1",5,16,31.25,4
"Canadian Social Work Review","2000","2",6,16,37.5,4
"Canadian Social Work Review","2000","3",3,16,18.75,4
"Canadian Social Work Review","2000","4+",2,16,12.5,4
"Canadian Social Work Review","2001","1",8,15,53.3333333333333,3
"Canadian Social Work Review","2001","2",6,15,40,3
"Canadian Social Work Review","2001","3",1,15,6.66666666666667,3
"Canadian Social Work Review","2002","1",11,17,64.7058823529412,3
"Canadian Social Work Review","2002","2",5,17,29.4117647058824,3
