"id","journal","pubYear","n_authors","auth_cat"
57709,"Administration in Social Work","1992",1,"1"
57712,"Administration in Social Work","1992",2,"2"
56949,"Administration in Social Work","1993",2,"2"
56950,"Administration in Social Work","1993",1,"1"
56951,"Administration in Social Work","1993",2,"2"
56952,"Administration in Social Work","1993",1,"1"
56953,"Administration in Social Work","1993",3,"3"
56954,"Administration in Social Work","1993",1,"1"
57029,"Administration in Social Work","1993",3,"3"
57030,"Administration in Social Work","1993",2,"2"
57031,"Administration in Social Work","1993",3,"3"
57176,"Administration in Social Work","1993",1,"1"
57180,"Administration in Social Work","1993",2,"2"
57198,"Administration in Social Work","1993",2,"2"
57199,"Administration in Social Work","1993",2,"2"
57202,"Administration in Social Work","1993",1,"1"
57206,"Administration in Social Work","1993",2,"2"
57208,"Administration in Social Work","1993",4,"4+"
57211,"Administration in Social Work","1993",3,"3"
57212,"Administration in Social Work","1993",2,"2"
57215,"Administration in Social Work","1993",1,"1"
57243,"Administration in Social Work","1993",1,"1"
38896,"Administration in Social Work","1994",1,"1"
38897,"Administration in Social Work","1994",1,"1"
38898,"Administration in Social Work","1994",1,"1"
38899,"Administration in Social Work","1994",3,"3"
38900,"Administration in Social Work","1994",1,"1"
38901,"Administration in Social Work","1994",1,"1"
38902,"Administration in Social Work","1994",2,"2"
38903,"Administration in Social Work","1994",1,"1"
38904,"Administration in Social Work","1994",2,"2"
38905,"Administration in Social Work","1994",3,"3"
38906,"Administration in Social Work","1994",1,"1"
38907,"Administration in Social Work","1994",1,"1"
38908,"Administration in Social Work","1994",1,"1"
38909,"Administration in Social Work","1994",1,"1"
38910,"Administration in Social Work","1994",2,"2"
38911,"Administration in Social Work","1994",3,"3"
38912,"Administration in Social Work","1994",2,"2"
38913,"Administration in Social Work","1994",2,"2"
38914,"Administration in Social Work","1994",1,"1"
38915,"Administration in Social Work","1994",2,"2"
38916,"Administration in Social Work","1994",1,"1"
38917,"Administration in Social Work","1994",1,"1"
38918,"Administration in Social Work","1994",1,"1"
38873,"Administration in Social Work","1995",2,"2"
38874,"Administration in Social Work","1995",1,"1"
38875,"Administration in Social Work","1995",1,"1"
38876,"Administration in Social Work","1995",1,"1"
38877,"Administration in Social Work","1995",1,"1"
38878,"Administration in Social Work","1995",1,"1"
38879,"Administration in Social Work","1995",2,"2"
38880,"Administration in Social Work","1995",1,"1"
38881,"Administration in Social Work","1995",1,"1"
38882,"Administration in Social Work","1995",1,"1"
38883,"Administration in Social Work","1995",1,"1"
38884,"Administration in Social Work","1995",2,"2"
38885,"Administration in Social Work","1995",2,"2"
38886,"Administration in Social Work","1995",2,"2"
38887,"Administration in Social Work","1995",1,"1"
38888,"Administration in Social Work","1995",1,"1"
38889,"Administration in Social Work","1995",2,"2"
38890,"Administration in Social Work","1995",2,"2"
38891,"Administration in Social Work","1995",1,"1"
38892,"Administration in Social Work","1995",1,"1"
38893,"Administration in Social Work","1995",1,"1"
38895,"Administration in Social Work","1995",1,"1"
56031,"Administration in Social Work","1995",2,"2"
40336,"Administration in Social Work","1996",1,"1"
40337,"Administration in Social Work","1996",1,"1"
40338,"Administration in Social Work","1996",1,"1"
40339,"Administration in Social Work","1996",2,"2"
40340,"Administration in Social Work","1996",2,"2"
40341,"Administration in Social Work","1996",1,"1"
40342,"Administration in Social Work","1996",1,"1"
40343,"Administration in Social Work","1996",1,"1"
40344,"Administration in Social Work","1996",2,"2"
40345,"Administration in Social Work","1996",2,"2"
40346,"Administration in Social Work","1996",1,"1"
40347,"Administration in Social Work","1996",1,"1"
40348,"Administration in Social Work","1996",1,"1"
40349,"Administration in Social Work","1996",2,"2"
40350,"Administration in Social Work","1996",1,"1"
40351,"Administration in Social Work","1996",2,"2"
40352,"Administration in Social Work","1996",1,"1"
40353,"Administration in Social Work","1996",3,"3"
40354,"Administration in Social Work","1996",3,"3"
40355,"Administration in Social Work","1996",1,"1"
40356,"Administration in Social Work","1996",1,"1"
40357,"Administration in Social Work","1996",1,"1"
40358,"Administration in Social Work","1996",1,"1"
40316,"Administration in Social Work","1997",2,"2"
40317,"Administration in Social Work","1997",1,"1"
40318,"Administration in Social Work","1997",2,"2"
40319,"Administration in Social Work","1997",3,"3"
40320,"Administration in Social Work","1997",1,"1"
40321,"Administration in Social Work","1997",1,"1"
40322,"Administration in Social Work","1997",1,"1"
40323,"Administration in Social Work","1997",1,"1"
40324,"Administration in Social Work","1997",1,"1"
40325,"Administration in Social Work","1997",3,"3"
40326,"Administration in Social Work","1997",3,"3"
40327,"Administration in Social Work","1997",1,"1"
40328,"Administration in Social Work","1997",1,"1"
40329,"Administration in Social Work","1997",1,"1"
40330,"Administration in Social Work","1997",2,"2"
40331,"Administration in Social Work","1997",2,"2"
40332,"Administration in Social Work","1997",2,"2"
40333,"Administration in Social Work","1997",3,"3"
40334,"Administration in Social Work","1997",1,"1"
40335,"Administration in Social Work","1997",2,"2"
40293,"Administration in Social Work","1998",1,"1"
40294,"Administration in Social Work","1998",1,"1"
40295,"Administration in Social Work","1998",2,"2"
40296,"Administration in Social Work","1998",1,"1"
40297,"Administration in Social Work","1998",1,"1"
40298,"Administration in Social Work","1998",1,"1"
40299,"Administration in Social Work","1998",2,"2"
40300,"Administration in Social Work","1998",1,"1"
40301,"Administration in Social Work","1998",1,"1"
40302,"Administration in Social Work","1998",2,"2"
40303,"Administration in Social Work","1998",1,"1"
40304,"Administration in Social Work","1998",1,"1"
40305,"Administration in Social Work","1998",2,"2"
40306,"Administration in Social Work","1998",2,"2"
40307,"Administration in Social Work","1998",1,"1"
40308,"Administration in Social Work","1998",1,"1"
40309,"Administration in Social Work","1998",1,"1"
40310,"Administration in Social Work","1998",1,"1"
40311,"Administration in Social Work","1998",3,"3"
40312,"Administration in Social Work","1998",3,"3"
40313,"Administration in Social Work","1998",1,"1"
40314,"Administration in Social Work","1998",2,"2"
40315,"Administration in Social Work","1998",2,"2"
54530,"Administration in Social Work","1998",1,"1"
40283,"Administration in Social Work","1999",1,"1"
40284,"Administration in Social Work","1999",2,"2"
40285,"Administration in Social Work","1999",1,"1"
40286,"Administration in Social Work","1999",1,"1"
40287,"Administration in Social Work","1999",2,"2"
40288,"Administration in Social Work","1999",1,"1"
40289,"Administration in Social Work","1999",3,"3"
40290,"Administration in Social Work","1999",3,"3"
40291,"Administration in Social Work","1999",1,"1"
40292,"Administration in Social Work","1999",3,"3"
53951,"Administration in Social Work","1999",1,"1"
54380,"Administration in Social Work","1999",3,"3"
37717,"Administration in Social Work","2000",1,"1"
37718,"Administration in Social Work","2000",3,"3"
37719,"Administration in Social Work","2000",3,"3"
37720,"Administration in Social Work","2000",3,"3"
37721,"Administration in Social Work","2000",1,"1"
37722,"Administration in Social Work","2000",1,"1"
37740,"Administration in Social Work","2000",1,"1"
37741,"Administration in Social Work","2000",2,"2"
37742,"Administration in Social Work","2000",3,"3"
37743,"Administration in Social Work","2000",1,"1"
37744,"Administration in Social Work","2000",2,"2"
37745,"Administration in Social Work","2000",3,"3"
37746,"Administration in Social Work","2000",1,"1"
37747,"Administration in Social Work","2000",2,"2"
37748,"Administration in Social Work","2000",1,"1"
37749,"Administration in Social Work","2000",1,"1"
37750,"Administration in Social Work","2000",1,"1"
37810,"Administration in Social Work","2000",1,"1"
37811,"Administration in Social Work","2000",1,"1"
37812,"Administration in Social Work","2000",1,"1"
37813,"Administration in Social Work","2000",1,"1"
37814,"Administration in Social Work","2000",1,"1"
37815,"Administration in Social Work","2000",2,"2"
37816,"Administration in Social Work","2000",2,"2"
37817,"Administration in Social Work","2000",1,"1"
37818,"Administration in Social Work","2000",1,"1"
37819,"Administration in Social Work","2000",2,"2"
37820,"Administration in Social Work","2000",1,"1"
53491,"Administration in Social Work","2000",1,"1"
53492,"Administration in Social Work","2000",2,"2"
53493,"Administration in Social Work","2000",2,"2"
53494,"Administration in Social Work","2000",3,"3"
24202,"Administration in Social Work","2001",2,"2"
24203,"Administration in Social Work","2001",1,"1"
24204,"Administration in Social Work","2001",5,"4+"
24205,"Administration in Social Work","2001",4,"4+"
24229,"Administration in Social Work","2001",1,"1"
24230,"Administration in Social Work","2001",3,"3"
24231,"Administration in Social Work","2001",1,"1"
24232,"Administration in Social Work","2001",2,"2"
24233,"Administration in Social Work","2001",1,"1"
24377,"Administration in Social Work","2001",1,"1"
24378,"Administration in Social Work","2001",1,"1"
24379,"Administration in Social Work","2001",1,"1"
24380,"Administration in Social Work","2001",3,"3"
24381,"Administration in Social Work","2001",2,"2"
24382,"Administration in Social Work","2001",1,"1"
24383,"Administration in Social Work","2001",1,"1"
24384,"Administration in Social Work","2001",4,"4+"
24385,"Administration in Social Work","2001",3,"3"
24386,"Administration in Social Work","2001",1,"1"
24387,"Administration in Social Work","2001",1,"1"
24388,"Administration in Social Work","2001",2,"2"
37225,"Administration in Social Work","2001",1,"1"
37226,"Administration in Social Work","2001",1,"1"
37234,"Administration in Social Work","2001",1,"1"
37254,"Administration in Social Work","2001",2,"2"
37258,"Administration in Social Work","2001",1,"1"
37315,"Administration in Social Work","2001",3,"3"
37317,"Administration in Social Work","2001",2,"2"
23653,"Administration in Social Work","2002",1,"1"
23654,"Administration in Social Work","2002",1,"1"
23676,"Administration in Social Work","2002",2,"2"
23677,"Administration in Social Work","2002",3,"3"
23678,"Administration in Social Work","2002",2,"2"
23704,"Administration in Social Work","2002",1,"1"
23705,"Administration in Social Work","2002",1,"1"
23706,"Administration in Social Work","2002",4,"4+"
23707,"Administration in Social Work","2002",2,"2"
36702,"Administration in Social Work","2002",1,"1"
36703,"Administration in Social Work","2002",3,"3"
36718,"Administration in Social Work","2002",3,"3"
36771,"Administration in Social Work","2002",1,"1"
36773,"Administration in Social Work","2002",2,"2"
36774,"Administration in Social Work","2002",1,"1"
37210,"Administration in Social Work","2002",1,"1"
52491,"Administration in Social Work","2002",2,"2"
22848,"Administration in Social Work","2003",3,"3"
22849,"Administration in Social Work","2003",2,"2"
22850,"Administration in Social Work","2003",1,"1"
22851,"Administration in Social Work","2003",2,"2"
22870,"Administration in Social Work","2003",1,"1"
22871,"Administration in Social Work","2003",2,"2"
22872,"Administration in Social Work","2003",1,"1"
22873,"Administration in Social Work","2003",1,"1"
22874,"Administration in Social Work","2003",1,"1"
22974,"Administration in Social Work","2003",2,"2"
22975,"Administration in Social Work","2003",2,"2"
22976,"Administration in Social Work","2003",1,"1"
22977,"Administration in Social Work","2003",1,"1"
22978,"Administration in Social Work","2003",1,"1"
22985,"Administration in Social Work","2003",5,"4+"
22986,"Administration in Social Work","2003",2,"2"
22987,"Administration in Social Work","2003",4,"4+"
22988,"Administration in Social Work","2003",1,"1"
36108,"Administration in Social Work","2003",1,"1"
21657,"Administration in Social Work","2004",2,"2"
21658,"Administration in Social Work","2004",1,"1"
21659,"Administration in Social Work","2004",1,"1"
21660,"Administration in Social Work","2004",3,"3"
21661,"Administration in Social Work","2004",1,"1"
21662,"Administration in Social Work","2004",3,"3"
21663,"Administration in Social Work","2004",1,"1"
22141,"Administration in Social Work","2004",2,"2"
22142,"Administration in Social Work","2004",2,"2"
22143,"Administration in Social Work","2004",2,"2"
22144,"Administration in Social Work","2004",1,"1"
22145,"Administration in Social Work","2004",2,"2"
22146,"Administration in Social Work","2004",2,"2"
22147,"Administration in Social Work","2004",4,"4+"
22148,"Administration in Social Work","2004",3,"3"
22149,"Administration in Social Work","2004",2,"2"
22150,"Administration in Social Work","2004",1,"1"
22167,"Administration in Social Work","2004",1,"1"
22168,"Administration in Social Work","2004",4,"4+"
22169,"Administration in Social Work","2004",1,"1"
22170,"Administration in Social Work","2004",7,"4+"
22171,"Administration in Social Work","2004",1,"1"
42643,"Administration in Social Work","2004",2,"2"
21118,"Administration in Social Work","2005",1,"1"
21119,"Administration in Social Work","2005",1,"1"
21120,"Administration in Social Work","2005",3,"3"
21121,"Administration in Social Work","2005",1,"1"
21122,"Administration in Social Work","2005",1,"1"
21182,"Administration in Social Work","2005",2,"2"
21183,"Administration in Social Work","2005",2,"2"
21184,"Administration in Social Work","2005",1,"1"
21185,"Administration in Social Work","2005",1,"1"
21186,"Administration in Social Work","2005",1,"1"
21241,"Administration in Social Work","2005",1,"1"
21242,"Administration in Social Work","2005",2,"2"
21243,"Administration in Social Work","2005",3,"3"
21244,"Administration in Social Work","2005",1,"1"
21245,"Administration in Social Work","2005",1,"1"
21288,"Administration in Social Work","2005",3,"3"
21289,"Administration in Social Work","2005",3,"3"
21290,"Administration in Social Work","2005",1,"1"
21291,"Administration in Social Work","2005",2,"2"
21292,"Administration in Social Work","2005",2,"2"
21293,"Administration in Social Work","2005",1,"1"
21312,"Administration in Social Work","2005",2,"2"
20087,"Administration in Social Work","2006",1,"1"
20088,"Administration in Social Work","2006",3,"3"
20089,"Administration in Social Work","2006",2,"2"
20090,"Administration in Social Work","2006",1,"1"
20091,"Administration in Social Work","2006",2,"2"
20092,"Administration in Social Work","2006",5,"4+"
20093,"Administration in Social Work","2006",2,"2"
20094,"Administration in Social Work","2006",1,"1"
20095,"Administration in Social Work","2006",2,"2"
20300,"Administration in Social Work","2006",2,"2"
20301,"Administration in Social Work","2006",3,"3"
20302,"Administration in Social Work","2006",2,"2"
20303,"Administration in Social Work","2006",1,"1"
20304,"Administration in Social Work","2006",2,"2"
34113,"Administration in Social Work","2006",1,"1"
34114,"Administration in Social Work","2006",1,"1"
34115,"Administration in Social Work","2006",2,"2"
34116,"Administration in Social Work","2006",3,"3"
34117,"Administration in Social Work","2006",1,"1"
18914,"Administration in Social Work","2007",4,"4+"
18915,"Administration in Social Work","2007",5,"4+"
18916,"Administration in Social Work","2007",2,"2"
18917,"Administration in Social Work","2007",1,"1"
18918,"Administration in Social Work","2007",2,"2"
18936,"Administration in Social Work","2007",2,"2"
18937,"Administration in Social Work","2007",1,"1"
18938,"Administration in Social Work","2007",1,"1"
18939,"Administration in Social Work","2007",2,"2"
19039,"Administration in Social Work","2007",1,"1"
19040,"Administration in Social Work","2007",3,"3"
19041,"Administration in Social Work","2007",4,"4+"
19042,"Administration in Social Work","2007",2,"2"
19043,"Administration in Social Work","2007",1,"1"
19049,"Administration in Social Work","2007",2,"2"
19050,"Administration in Social Work","2007",3,"3"
19051,"Administration in Social Work","2007",1,"1"
19052,"Administration in Social Work","2007",2,"2"
19053,"Administration in Social Work","2007",1,"1"
19223,"Administration in Social Work","2007",1,"1"
19224,"Administration in Social Work","2007",4,"4+"
19225,"Administration in Social Work","2007",1,"1"
19226,"Administration in Social Work","2007",2,"2"
19227,"Administration in Social Work","2007",4,"4+"
19790,"Administration in Social Work","2007",3,"3"
33356,"Administration in Social Work","2007",2,"2"
34945,"Administration in Social Work","2007",1,"1"
17912,"Administration in Social Work","2008",2,"2"
17913,"Administration in Social Work","2008",2,"2"
17914,"Administration in Social Work","2008",4,"4+"
17915,"Administration in Social Work","2008",2,"2"
17916,"Administration in Social Work","2008",1,"1"
17917,"Administration in Social Work","2008",3,"3"
17918,"Administration in Social Work","2008",4,"4+"
17919,"Administration in Social Work","2008",3,"3"
17920,"Administration in Social Work","2008",1,"1"
17921,"Administration in Social Work","2008",2,"2"
17922,"Administration in Social Work","2008",2,"2"
17923,"Administration in Social Work","2008",2,"2"
32631,"Administration in Social Work","2008",1,"1"
32632,"Administration in Social Work","2008",1,"1"
32633,"Administration in Social Work","2008",4,"4+"
32634,"Administration in Social Work","2008",5,"4+"
32635,"Administration in Social Work","2008",1,"1"
32636,"Administration in Social Work","2008",2,"2"
15975,"Administration in Social Work","2009",3,"3"
15976,"Administration in Social Work","2009",3,"3"
15977,"Administration in Social Work","2009",2,"2"
15978,"Administration in Social Work","2009",3,"3"
15979,"Administration in Social Work","2009",1,"1"
15980,"Administration in Social Work","2009",1,"1"
16302,"Administration in Social Work","2009",4,"4+"
16303,"Administration in Social Work","2009",2,"2"
16304,"Administration in Social Work","2009",4,"4+"
16305,"Administration in Social Work","2009",3,"3"
16306,"Administration in Social Work","2009",2,"2"
16307,"Administration in Social Work","2009",2,"2"
16618,"Administration in Social Work","2009",2,"2"
16619,"Administration in Social Work","2009",1,"1"
16620,"Administration in Social Work","2009",3,"3"
16621,"Administration in Social Work","2009",4,"4+"
16622,"Administration in Social Work","2009",1,"1"
16902,"Administration in Social Work","2009",5,"4+"
16903,"Administration in Social Work","2009",3,"3"
16904,"Administration in Social Work","2009",2,"2"
16905,"Administration in Social Work","2009",1,"1"
16906,"Administration in Social Work","2009",3,"3"
16907,"Administration in Social Work","2009",2,"2"
31421,"Administration in Social Work","2009",2,"2"
47968,"Administration in Social Work","2009",1,"1"
48574,"Administration in Social Work","2009",1,"1"
14472,"Administration in Social Work","2010",2,"2"
14473,"Administration in Social Work","2010",2,"2"
14474,"Administration in Social Work","2010",1,"1"
14475,"Administration in Social Work","2010",1,"1"
14476,"Administration in Social Work","2010",2,"2"
14739,"Administration in Social Work","2010",6,"4+"
14740,"Administration in Social Work","2010",1,"1"
14741,"Administration in Social Work","2010",1,"1"
14742,"Administration in Social Work","2010",2,"2"
14743,"Administration in Social Work","2010",5,"4+"
15044,"Administration in Social Work","2010",2,"2"
15045,"Administration in Social Work","2010",1,"1"
15046,"Administration in Social Work","2010",1,"1"
15047,"Administration in Social Work","2010",2,"2"
15048,"Administration in Social Work","2010",1,"1"
15341,"Administration in Social Work","2010",1,"1"
15342,"Administration in Social Work","2010",3,"3"
15343,"Administration in Social Work","2010",3,"3"
15344,"Administration in Social Work","2010",1,"1"
15345,"Administration in Social Work","2010",2,"2"
15346,"Administration in Social Work","2010",1,"1"
15678,"Administration in Social Work","2010",2,"2"
15679,"Administration in Social Work","2010",2,"2"
15680,"Administration in Social Work","2010",1,"1"
15681,"Administration in Social Work","2010",2,"2"
15682,"Administration in Social Work","2010",1,"1"
15683,"Administration in Social Work","2010",3,"3"
12913,"Administration in Social Work","2011",1,"1"
12914,"Administration in Social Work","2011",1,"1"
12915,"Administration in Social Work","2011",3,"3"
12916,"Administration in Social Work","2011",4,"4+"
12917,"Administration in Social Work","2011",4,"4+"
13595,"Administration in Social Work","2011",2,"2"
13596,"Administration in Social Work","2011",4,"4+"
13597,"Administration in Social Work","2011",4,"4+"
13598,"Administration in Social Work","2011",5,"4+"
13599,"Administration in Social Work","2011",4,"4+"
13600,"Administration in Social Work","2011",1,"1"
13822,"Administration in Social Work","2011",4,"4+"
13823,"Administration in Social Work","2011",2,"2"
13824,"Administration in Social Work","2011",2,"2"
13825,"Administration in Social Work","2011",3,"3"
13826,"Administration in Social Work","2011",1,"1"
14055,"Administration in Social Work","2011",2,"2"
14056,"Administration in Social Work","2011",2,"2"
14057,"Administration in Social Work","2011",2,"2"
14058,"Administration in Social Work","2011",2,"2"
14059,"Administration in Social Work","2011",1,"1"
14246,"Administration in Social Work","2011",1,"1"
14247,"Administration in Social Work","2011",4,"4+"
14248,"Administration in Social Work","2011",1,"1"
14249,"Administration in Social Work","2011",3,"3"
14250,"Administration in Social Work","2011",3,"3"
30029,"Administration in Social Work","2011",1,"1"
46408,"Administration in Social Work","2011",5,"4+"
11895,"Administration in Social Work","2012",2,"2"
11896,"Administration in Social Work","2012",2,"2"
11897,"Administration in Social Work","2012",2,"2"
11898,"Administration in Social Work","2012",2,"2"
11899,"Administration in Social Work","2012",1,"1"
12276,"Administration in Social Work","2012",2,"2"
12277,"Administration in Social Work","2012",2,"2"
12278,"Administration in Social Work","2012",1,"1"
12279,"Administration in Social Work","2012",1,"1"
12421,"Administration in Social Work","2012",2,"2"
12422,"Administration in Social Work","2012",5,"4+"
12423,"Administration in Social Work","2012",1,"1"
12424,"Administration in Social Work","2012",2,"2"
12425,"Administration in Social Work","2012",2,"2"
12426,"Administration in Social Work","2012",3,"3"
12772,"Administration in Social Work","2012",3,"3"
12773,"Administration in Social Work","2012",4,"4+"
12774,"Administration in Social Work","2012",2,"2"
12775,"Administration in Social Work","2012",2,"2"
12776,"Administration in Social Work","2012",4,"4+"
13184,"Administration in Social Work","2012",3,"3"
13185,"Administration in Social Work","2012",2,"2"
13186,"Administration in Social Work","2012",3,"3"
13187,"Administration in Social Work","2012",3,"3"
13188,"Administration in Social Work","2012",1,"1"
13189,"Administration in Social Work","2012",3,"3"
10392,"Administration in Social Work","2013",4,"4+"
10393,"Administration in Social Work","2013",2,"2"
10394,"Administration in Social Work","2013",2,"2"
10395,"Administration in Social Work","2013",1,"1"
10396,"Administration in Social Work","2013",1,"1"
10397,"Administration in Social Work","2013",3,"3"
10683,"Administration in Social Work","2013",4,"4+"
10684,"Administration in Social Work","2013",4,"4+"
10685,"Administration in Social Work","2013",2,"2"
10686,"Administration in Social Work","2013",4,"4+"
10687,"Administration in Social Work","2013",4,"4+"
10688,"Administration in Social Work","2013",4,"4+"
10689,"Administration in Social Work","2013",1,"1"
11010,"Administration in Social Work","2013",2,"2"
11011,"Administration in Social Work","2013",3,"3"
11012,"Administration in Social Work","2013",1,"1"
11013,"Administration in Social Work","2013",2,"2"
11014,"Administration in Social Work","2013",2,"2"
11015,"Administration in Social Work","2013",1,"1"
11016,"Administration in Social Work","2013",4,"4+"
11017,"Administration in Social Work","2013",2,"2"
11213,"Administration in Social Work","2013",3,"3"
11214,"Administration in Social Work","2013",2,"2"
11215,"Administration in Social Work","2013",1,"1"
11216,"Administration in Social Work","2013",3,"3"
11217,"Administration in Social Work","2013",3,"3"
11218,"Administration in Social Work","2013",3,"3"
11219,"Administration in Social Work","2013",1,"1"
11220,"Administration in Social Work","2013",2,"2"
11664,"Administration in Social Work","2013",1,"1"
11665,"Administration in Social Work","2013",1,"1"
11666,"Administration in Social Work","2013",1,"1"
11667,"Administration in Social Work","2013",2,"2"
11668,"Administration in Social Work","2013",1,"1"
11669,"Administration in Social Work","2013",1,"1"
11670,"Administration in Social Work","2013",7,"4+"
124059,"Advances in Social Work","2000",1,"1"
124060,"Advances in Social Work","2000",3,"3"
124061,"Advances in Social Work","2000",2,"2"
124062,"Advances in Social Work","2000",4,"4+"
124063,"Advances in Social Work","2000",3,"3"
124064,"Advances in Social Work","2000",3,"3"
124086,"Advances in Social Work","2000",1,"1"
124087,"Advances in Social Work","2000",2,"2"
124088,"Advances in Social Work","2000",3,"3"
124089,"Advances in Social Work","2000",2,"2"
124090,"Advances in Social Work","2000",1,"1"
124091,"Advances in Social Work","2000",2,"2"
124092,"Advances in Social Work","2000",2,"2"
123942,"Advances in Social Work","2001",6,"4+"
123943,"Advances in Social Work","2001",3,"3"
123944,"Advances in Social Work","2001",3,"3"
123945,"Advances in Social Work","2001",2,"2"
123946,"Advances in Social Work","2001",1,"1"
123947,"Advances in Social Work","2001",3,"3"
123976,"Advances in Social Work","2001",1,"1"
123977,"Advances in Social Work","2001",3,"3"
123978,"Advances in Social Work","2001",2,"2"
123979,"Advances in Social Work","2001",1,"1"
123980,"Advances in Social Work","2001",3,"3"
123981,"Advances in Social Work","2001",1,"1"
123982,"Advances in Social Work","2001",4,"4+"
123822,"Advances in Social Work","2002",1,"1"
123823,"Advances in Social Work","2002",2,"2"
123824,"Advances in Social Work","2002",3,"3"
123825,"Advances in Social Work","2002",1,"1"
123826,"Advances in Social Work","2002",4,"4+"
123827,"Advances in Social Work","2002",2,"2"
123842,"Advances in Social Work","2002",1,"1"
123843,"Advances in Social Work","2002",1,"1"
123844,"Advances in Social Work","2002",3,"3"
123845,"Advances in Social Work","2002",2,"2"
123846,"Advances in Social Work","2002",2,"2"
123847,"Advances in Social Work","2002",1,"1"
125717,"Advances in Social Work","2003",2,"2"
125718,"Advances in Social Work","2003",3,"3"
125720,"Advances in Social Work","2003",3,"3"
125738,"Advances in Social Work","2003",2,"2"
125739,"Advances in Social Work","2003",1,"1"
125740,"Advances in Social Work","2003",3,"3"
125741,"Advances in Social Work","2003",2,"2"
125574,"Advances in Social Work","2004",2,"2"
125575,"Advances in Social Work","2004",1,"1"
125576,"Advances in Social Work","2004",3,"3"
125577,"Advances in Social Work","2004",1,"1"
125578,"Advances in Social Work","2004",3,"3"
125579,"Advances in Social Work","2004",1,"1"
125580,"Advances in Social Work","2004",2,"2"
125581,"Advances in Social Work","2004",1,"1"
