"","articleID","n_authors","coauthored","journal","hindex","pub_year","page_count","year0","year1","year2","year3","year4","year5","total_cites","quartile","pubMed","psycINFO"
"33",33,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,NA,0,0,1,1,1,2,5,2,0,0
"34",34,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,2,0,2,4,2,0,0
"35",35,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,25,0,0,0,0,1,0,1,4,0,0
"36",36,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,20,0,0,0,0,1,4,5,2,0,0
"37",37,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,1,0,1,1,1,4,2,0,0
"38",38,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,17,1,0,1,0,2,1,5,2,0,0
"39",39,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,21,1,1,1,0,1,1,5,2,0,0
"40",40,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,19,1,1,2,0,1,0,5,2,0,0
"41",41,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,12,0,0,0,0,1,0,1,4,0,0
"42",42,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,14,0,0,0,0,1,0,1,4,0,0
"43",43,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,28,0,0,1,1,0,0,2,3,0,0
"44",44,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,18,0,0,1,1,1,0,3,3,0,0
"45",45,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,15,0,0,0,0,2,1,3,3,0,0
"46",46,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,0,0,1,2,3,3,0,0
"47",47,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,1,1,0,2,4,2,0,0
"48",48,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,18,0,0,0,0,0,2,2,3,0,0
"49",49,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,20,0,0,0,1,0,2,3,3,0,0
"50",50,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,15,0,0,0,0,2,0,2,3,0,0
"51",51,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,16,0,0,0,0,0,3,3,3,0,0
"52",52,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,1,0,0,3,0,4,2,0,0
"53",53,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,0,1,0,0,2,3,3,0,0
"54",54,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,0,1,1,1,1,4,2,0,0
"55",55,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,1,0,0,0,1,2,3,0,0
"56",56,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,19,0,0,0,0,0,3,3,3,0,0
"57",57,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,12,0,0,0,1,0,2,3,3,0,0
"58",58,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,0,0,1,0,1,4,0,0
"59",59,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,18,0,1,0,0,1,0,2,3,0,0
"60",60,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,21,0,0,1,0,2,0,3,3,0,0
"61",61,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,0,0,0,2,2,3,0,0
"62",62,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,27,0,0,0,1,0,1,2,3,0,0
"63",63,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,1,1,0,0,2,3,0,0
"64",64,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,23,0,0,0,0,0,0,0,4,0,0
"65",65,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,11,0,0,1,0,1,0,2,3,0,0
"66",66,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,18,0,0,0,0,1,1,2,3,0,0
"67",67,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,28,0,1,0,0,0,0,1,4,0,0
"68",68,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,30,0,0,0,0,0,2,2,3,0,0
"69",69,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,0,0,0,2,2,3,0,0
"70",70,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,22,0,0,1,1,0,0,2,3,0,0
"71",71,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,1,1,0,0,2,3,0,0
"72",72,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,17,0,0,0,0,2,0,2,3,0,0
"73",73,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,24,0,0,0,0,1,0,1,4,0,0
"74",74,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,0,1,0,0,0,1,4,0,0
"75",75,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,28,0,0,0,2,0,0,2,3,0,0
"76",76,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,0,0,0,0,2,2,3,0,0
"77",77,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,22,0,0,0,0,1,1,2,3,0,0
"78",78,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,0,0,0,0,0,0,4,0,0
"79",79,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,16,0,0,2,0,0,0,2,3,0,0
"80",80,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,19,0,0,0,0,1,0,1,4,0,0
"81",81,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,20,0,0,0,0,0,2,2,3,0,0
"82",82,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,13,0,0,0,0,1,0,1,4,0,0
"83",83,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,24,0,0,0,0,0,0,0,4,0,0
"84",84,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,26,0,0,0,1,0,0,1,4,0,0
"85",85,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,0,1,0,1,4,0,0
"86",86,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,20,0,0,0,2,0,0,2,3,0,0
"87",87,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,0,1,1,2,3,0,0
"88",88,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,0,0,0,0,0,4,0,0
"89",89,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,22,0,0,0,1,0,0,1,4,0,0
"90",90,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,11,0,0,0,0,1,0,1,4,0,0
"91",91,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,15,0,0,1,0,0,0,1,4,0,0
"92",92,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,19,0,0,0,0,0,0,0,4,0,0
"93",93,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,13,0,0,0,1,0,0,1,4,0,0
"94",94,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,18,0,0,0,0,0,0,0,4,0,0
"95",95,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,21,0,0,1,0,0,0,1,4,0,0
"96",96,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,0,0,0,0,0,4,0,0
"97",97,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,16,0,0,0,0,0,0,0,4,0,0
"98",98,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,16,0,0,0,0,0,0,0,4,0,0
"99",99,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,22,0,0,0,0,0,0,0,4,0,0
"100",100,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,22,0,0,0,0,0,0,0,4,0,0
"101",101,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,17,0,0,0,0,0,0,0,4,0,0
"102",102,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,21,0,0,0,0,0,0,0,4,0,0
"103",103,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,6,0,0,0,0,0,0,0,4,0,0
"104",104,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,2,2,8,4,2,5,23,1,0,1
"105",105,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,13,0,2,2,1,4,3,12,1,0,1
"106",106,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,12,0,2,1,0,3,3,9,1,0,1
"107",107,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,15,0,0,1,2,1,2,6,1,0,1
"108",108,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,17,0,0,3,4,2,4,13,1,0,1
"109",109,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,19,0,0,1,4,2,2,9,1,0,1
"110",110,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,16,0,2,1,0,2,1,6,1,0,1
"111",111,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,1,1,5,2,0,9,1,0,1
"112",112,8,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,15,0,1,0,4,2,1,8,1,0,1
"113",113,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,0,1,5,2,0,8,1,0,1
"114",114,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,14,0,1,0,0,2,3,6,1,0,1
"115",115,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,0,1,2,1,2,1,7,1,0,1
"116",116,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,13,0,0,2,3,1,2,8,1,0,1
"117",117,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,NA,0,1,2,1,3,2,9,1,0,1
"118",118,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,11,1,1,2,2,1,2,9,1,0,1
"119",119,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,14,0,0,0,2,4,1,7,1,0,1
"120",120,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,0,0,1,0,1,2,3,0,1
"121",121,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,1,0,2,1,3,7,1,0,1
"122",122,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,10,0,0,0,2,2,1,5,2,0,1
"123",123,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,13,0,0,2,1,1,1,5,2,0,1
"124",124,7,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,1,1,3,0,2,7,1,0,1
"125",125,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,16,0,0,2,0,2,3,7,1,0,1
"126",126,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,14,0,1,1,1,0,1,4,2,0,1
"127",127,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,14,0,1,1,3,0,2,7,1,0,1
"128",128,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,13,0,0,2,1,0,2,5,2,0,1
"129",129,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,16,0,0,0,0,0,0,0,4,0,1
"130",130,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,10,0,1,0,2,2,0,5,2,0,1
"131",131,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,13,0,1,0,0,1,3,5,2,0,1
"132",132,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,11,0,0,0,0,3,0,3,3,0,1
"133",133,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,10,0,0,0,1,0,2,3,3,0,1
"134",134,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,12,0,0,0,2,1,4,7,1,0,1
"135",135,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,18,0,0,0,0,1,1,2,3,0,1
"136",136,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,0,0,1,1,0,1,3,3,0,1
"137",137,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,0,1,0,2,1,4,2,0,1
"138",138,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,0,3,1,2,0,6,1,0,1
"139",139,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,2,1,0,1,0,4,2,0,1
"140",140,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,10,0,1,1,0,1,1,4,2,0,1
"141",141,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,1,1,1,0,0,3,3,0,1
"142",142,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,10,0,0,1,2,1,0,4,2,0,1
"143",143,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,0,1,0,1,2,4,2,0,1
"144",144,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,12,0,0,0,0,1,1,2,3,0,1
"145",145,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,10,0,0,0,1,0,1,2,3,0,1
"146",146,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,13,0,0,2,1,0,1,4,2,0,1
"147",147,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,NA,0,2,1,0,0,0,3,3,0,1
"148",148,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,11,0,0,0,0,0,4,4,2,0,1
"149",149,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,18,0,0,1,0,2,1,4,2,0,1
"150",150,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,16,0,1,0,3,1,0,5,2,0,1
"151",151,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,0,0,0,0,2,1,3,3,0,1
"152",152,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,13,0,1,0,0,2,0,3,3,0,1
"153",153,6,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,15,0,1,1,2,0,0,4,2,0,1
"154",154,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,0,2,0,2,0,1,5,2,0,1
"155",155,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,0,0,0,0,1,1,2,3,0,1
"156",156,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,15,0,0,0,3,0,1,4,2,0,1
"157",157,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,5,0,0,1,1,0,1,3,3,0,1
"158",158,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,15,0,0,0,0,0,2,2,3,0,1
"159",159,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,NA,0,0,0,1,0,0,1,4,0,1
"160",160,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,17,0,0,0,2,0,1,3,3,0,1
"161",161,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,11,0,0,1,1,0,1,3,3,0,1
"162",162,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,13,0,0,0,0,0,1,1,4,0,1
"163",163,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,15,0,0,1,1,1,1,4,2,0,1
"164",164,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,17,0,1,1,0,0,1,3,3,0,1
"165",165,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,13,1,0,2,0,1,0,4,2,0,1
"166",166,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,12,0,0,1,0,2,0,3,3,0,1
"167",167,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,15,1,1,0,0,2,0,4,2,0,1
"168",168,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,16,1,2,0,0,0,0,3,3,0,1
"169",169,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,14,0,0,0,0,0,0,0,4,0,1
"170",170,6,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,11,0,0,1,0,2,0,3,3,0,1
"171",171,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,12,0,0,1,0,1,1,3,3,0,1
"172",172,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,18,0,0,1,1,1,0,3,3,0,1
"173",173,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,16,0,0,0,1,1,0,2,3,0,1
"174",174,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,19,0,0,0,0,0,1,1,4,0,1
"175",175,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,13,0,0,1,0,1,0,2,3,0,1
"176",176,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,0,0,2,0,1,3,3,0,1
"177",177,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,12,0,0,0,1,0,1,2,3,0,1
"178",178,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,10,0,0,1,1,0,0,2,3,0,1
"179",179,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,0,1,0,0,0,1,4,0,1
"180",180,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,14,0,0,0,0,0,2,2,3,0,1
"181",181,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,6,0,0,0,2,1,0,3,3,0,1
"182",182,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,12,0,0,0,0,1,1,2,3,0,1
"183",183,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,19,0,0,0,0,1,1,2,3,0,1
"184",184,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,17,0,0,0,1,0,0,1,4,0,1
"185",185,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,9,0,0,0,1,0,0,1,4,0,1
"186",186,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,11,0,0,1,0,0,1,2,3,0,1
"187",187,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,14,1,0,0,1,0,0,2,3,0,1
"188",188,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,14,0,0,0,1,1,0,2,3,0,1
"189",189,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,1,0,0,0,1,0,2,3,0,1
"190",190,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,14,0,0,0,0,1,1,2,3,0,1
"191",191,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,0,0,0,1,1,2,3,0,1
"192",192,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,12,0,0,1,0,0,0,1,4,0,1
"193",193,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,0,0,2,0,0,2,3,0,1
"194",194,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,13,0,0,0,1,0,0,1,4,0,1
"195",195,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,0,0,0,1,0,1,4,0,1
"196",196,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,14,0,0,0,0,0,0,0,4,0,1
"197",197,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,0,2,0,0,0,2,3,0,1
"198",198,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,0,0,0,0,0,0,4,0,1
"199",199,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,NA,0,1,0,0,0,0,1,4,0,1
"200",200,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,16,0,1,0,1,0,0,2,3,0,1
"201",201,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,6,0,0,1,1,0,0,2,3,0,1
"202",202,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,14,0,0,0,0,0,1,1,4,0,1
"203",203,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,17,0,0,0,0,1,1,2,3,0,1
"204",204,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,16,0,0,0,1,0,0,1,4,0,1
"205",205,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,17,0,0,0,0,0,0,0,4,0,1
"206",206,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,16,0,0,0,0,0,1,1,4,0,1
"207",207,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,8,0,0,0,0,0,0,0,4,0,1
"208",208,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,16,0,1,0,0,0,0,1,4,0,1
"209",209,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,13,0,0,0,0,0,1,1,4,0,1
"210",210,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,18,0,1,0,0,0,0,1,4,0,1
"211",211,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,13,0,0,0,0,0,1,1,4,0,1
"212",212,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,13,0,0,0,0,0,0,0,4,0,1
"213",213,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,9,0,0,0,0,1,0,1,4,0,1
"214",214,5,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,NA,0,0,0,0,0,1,1,4,0,1
"215",215,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,11,0,0,0,0,0,0,0,4,0,1
"216",216,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,NA,0,0,0,0,0,0,0,4,0,1
"217",217,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,10,0,1,0,0,0,0,1,4,0,1
