"articleID","title","authors","n_authors","coauthored","journal","hindex","pub_year","page_count","year0","year1","year2","year3","year4","year5","total_cites","quartile","indexed_pubMed","indexed_psycINFO","indexed_SWA","years_active","cited","authors_factor","database_factor"
22,"Facilitating Positive Emotional Labor in Peer-Providers of Mental Health Services","Mancini, Michael A.; Lawson, Hal A.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,1,0,3,3,1,8,1,0,1,1,39,1,"2","2"
23,"Exploring the transfer of learning from an executive development program for human services managers","Austin, Michael J.; Weisner, Stan; Schrandt, Eileen; Glezos-Bell, Stephanie; Murtaza, Niaz",5,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,21,0,0,0,1,0,1,2,3,0,0,0,39,1,"4+","0"
24,"The diminishing role of social work administrators in social service agencies: Issues for consideration","Wuenschel, Peter C.",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,14,0,0,0,1,2,1,4,2,0,1,1,39,1,"1","2"
25,"Transformational leadership in human service organizations","Mary, NL",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,14,0,0,0,1,2,0,3,3,0,1,1,39,1,"1","2"
26,"Personal and Organizational Diversity Factors' Impact on Social Workers' Job Satisfaction: Results from a National Internet-Based Survey","Acquavita, Shauna P.; Pittman, Joan; Gibbons, Maya; Castellanos-Brown, Karen",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,10,0,0,1,0,3,3,7,1,0,1,1,39,1,"4+","2"
27,"Bilingual Social Workers: Language and Service Complexities","Engstrom, David W.; Piedra, Lissette M.; Min, Jong Won",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,0,4,0,0,3,7,1,0,1,1,39,1,"3","2"
28,"Social administration and outcomes for consumers: What do we know?","Poertner, John",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,15,0,0,0,2,1,2,5,2,0,0,0,39,1,"1","0"
29,"Child welfare management training: Towards a pedagogically sound curriculum","Preston, MS",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,23,0,0,0,2,2,0,4,2,0,1,1,39,1,"1","2"
30,"The Impact of Work Stressors on the Life Satisfaction of Social Service Workers: A Preliminary Study","Pasupuleti, Sudershan; Allen, Reva I.; Lambert, Eric G.; Cluse-Tolar, Terry",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,21,0,0,1,2,2,1,6,1,0,1,1,39,1,"4+","2"
31,"The Culturally Responsive Social Service Agency: The Application of an Evolving Definition to a Case Study","Chow, Julian Chun-Chung; Austin, Michael J.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,26,0,0,2,0,1,2,5,2,0,1,1,39,1,"2","2"
32,"Engaging fathers: Needs and satisfaction in child protective services","Huebner, Ruth A.; Werner, Mac; Hartwig, Steve; White, Stacy; Shewa, Daniel",5,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,0,0,3,3,6,1,0,0,0,39,1,"4+","0"
33,"Characteristics of workload management in pulic child welfare agencies","Juby, Cindy; Scannapieco, Maria",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,15,0,0,1,1,1,2,5,2,0,1,1,39,1,"2","2"
34,"Management information systems: Why are they underutilized in the social services?","Carrilio, T",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,2,0,2,4,2,0,1,1,39,1,"1","2"
35,"Developing a progressive advocacy program within a human services agency","Donaldson, Linda Plitt",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,25,0,0,0,0,1,0,1,4,0,0,0,39,1,"1","0"
36,"Ten characteristics of empowerment-oriented social service organizations","Hardina, D",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,20,0,0,0,0,1,4,5,2,0,1,1,39,1,"1","2"
37,"Evidence-Based Management: Origins, Challenges, and Implications for Social Service Administration","Briggs, Harold E.; McBeath, Bowen",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,1,0,1,1,1,4,2,0,1,1,39,1,"2","2"
38,"Factors influencing nursing home social workers' intentions to quit employment","Simons, Kelsey V.; Jankowski, Thomas B.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,17,1,0,1,0,2,1,5,2,0,1,1,39,1,"2","2"
39,"A workforce or workplace crisis? - Applying an organizational perspective to the study of human services employment","Haley-Lock, Anna",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,21,1,1,1,0,1,1,5,2,0,1,1,39,1,"1","2"
40,"Quality-directed activities and barriers to quality in social service organizations","Lee, Bethany R.; McMillen, J. Curtis; Knudsen, Kraig; Woods, Carol M.",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,19,1,1,2,0,1,0,5,2,0,1,1,39,1,"4+","2"
41,"Interorganizational relationships: A source of innovation in nonprofit organizations?","Jaskyte, Kristina; Lee, Minhong",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,12,0,0,0,0,1,0,1,4,0,1,1,39,1,"2","2"
42,"The development of a caseload weighting tool","Lechman, Constance",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,14,0,0,0,0,1,0,1,4,0,0,0,39,1,"1","0"
43,"Homeless service delivery in the context of continuum of care","Wong, YLI; Park, JM; Nemon, H",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,28,0,0,1,1,0,0,2,3,0,1,1,39,1,"3","2"
44,"Is social service contracting coercive, competitive, or collaborative? Evidence from the case allocation patterns of child protection services","Zullo, Roland",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,18,0,0,1,1,1,0,3,3,0,1,1,39,1,"1","2"
45,"Facing the challenges of outcomes measurement: The role of transformational leadership.","Fisher, EA",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,15,0,0,0,0,2,1,3,3,0,1,1,39,1,"1","2"
46,"Environmental and organizational features and their impact on structural and functional characteristics of boards in nonprofit organizations","Iecovich, E",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,0,0,1,2,3,3,0,1,1,39,1,"1","2"
47,"Personal history and professional impairment: Implications for social workers and their employers","Pooler, David K.; Siebert, Darcy Clay; Faul, Anna C.; Huber, Ruth",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,1,1,0,2,4,2,0,0,0,39,1,"4+","0"
48,"Field practicum experiences of macro-oriented graduate students: Are we doing them justice?","Deal, Katherine Holtz; Hopkins, Karen M.; Fisher, Liz; Hartin, John",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,18,0,0,0,0,0,2,2,3,0,1,1,39,1,"4+","2"
49,"Coping in a constrained economy: Survival strategies of nonprofit human service organizations","Golensky, Martha; Mulder, Cray A.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,20,0,0,0,1,0,2,3,3,0,1,1,39,1,"2","2"
50,"Gender, ethnicity, and job satisfaction among social workers in Israel","Abu-Bader, SH",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,15,0,0,0,0,2,0,2,3,0,1,1,39,1,"1","2"
51,"Empowerment of human service workers: Beyond intra-organizational strategies","Turner, LM; Shera, W",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,16,0,0,0,0,0,3,3,3,0,1,1,39,1,"2","2"
52,"Giving up the Single Life: Leadership Motivations for Interorganizational Restructuring in Nonprofit Organizations","Campbell, David A.",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,1,0,0,3,0,4,2,0,1,1,39,1,"1","2"
53,"Addressing Cultural Barriers with Muslim Clients: An Agency Perspective","Graham, John R.; Bradshaw, Cathryn; Trew, Jennifer L.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,20,0,0,1,0,0,2,3,3,0,1,1,39,1,"3","2"
54,"Where Do I Belong? Volunteer Attachment in a Complex Organization","Hustinx, Lesley; Handy, Femida",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,0,1,1,1,1,4,2,0,1,1,39,1,"2","2"
55,"The direct effects of field of practice on core managerial role competencies: A study across three types of public sector human service agencies","Preston, Mark S.",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,1,0,0,0,1,2,3,0,1,1,39,1,"1","2"
56,"What motivates African-American charitable giving: Findings from a national sample","Carter, Vernon B.; Marx, Jerry",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,19,0,0,0,0,0,3,3,3,0,1,1,39,1,"2","2"
57,"The Program Evaluation Grid: A planning and assessment tool for nonprofit organizations","Kluger, MP",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,12,0,0,0,1,0,2,3,3,0,1,1,39,1,"1","2"
58,"Participatory decision-making among community coalitions: An analysis of task group meetings","Speer, PW; Zippay, A",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,0,0,1,0,1,4,0,1,1,39,1,"2","2"
59,"The use of supervisory authority in Chinese cultural context","Tsui, MS; Ho, WS; Lam, CM",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,18,0,1,0,0,1,0,2,3,0,1,1,39,1,"3","2"
60,"Faith and Collaboration: A Qualitative Analysis of Faith-Based Social Service Programs in Organizational Relationships","Thomas, M. Lori",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,21,0,0,1,0,2,0,3,3,0,1,0,39,1,"1","1"
61,"Organizational leadership and its impact on social workers' job satisfaction: A national study","Elpers, Kathy; Westhuis, David J.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,0,0,0,2,2,3,0,1,1,39,1,"2","2"
62,"Barriers to independence among TANF recipients: Comparing caseworker records and client surveys","Ovwigho, Pamela Caudill; Saunders, Correne; Born, Catherine E.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,27,0,0,0,1,0,1,2,3,0,1,1,39,1,"3","2"
63,"Managing for Outcomes: The Selection of Sets of Outcome Measures","Poertner, John; Moore, Terry; McDonald, Tomas P.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,18,0,0,1,1,0,0,2,3,0,1,1,39,1,"3","2"
64,"Planning transformative programs: Challenges for advocates in translating change processes into effectiveness measures","Netting, F. Ellen; O'Connor, Mary Katherine; Fauri, David P.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,23,0,0,0,0,0,0,0,4,0,1,1,39,0,"3","2"
65,"An assessment of the minimization of risk and the maximization of opportunity among private nonprofit agencies in Florida","Steen, Julie A.; Smith, Thomas E.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,11,0,0,1,0,1,0,2,3,0,1,1,39,1,"2","2"
66,"Specialists in welfare offices: Do family violence experts matter?","Hetling, Andrea; Born, Catherine E.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,18,0,0,0,0,1,1,2,3,0,1,1,39,1,"2","2"
67,"Understanding environmental influence on human service organizations: A study of the influence of managed care on child caring institutions","Jones, Johnny M.",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,28,0,1,0,0,0,0,1,4,0,1,1,39,1,"1","2"
68,"Social work and the new semantic information revolution","O'Looney, J",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,30,0,0,0,0,0,2,2,3,0,1,1,39,1,"1","2"
69,"Crazy versus epoxy glueing: Control and trust in the merger of human service organizations","Teram, E; Igra, U",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,17,0,0,0,0,0,2,2,3,0,1,1,39,1,"2","2"
70,"Examining Organizational Learning for Application in Human Service Organizations","Busch, Monique; Hostetter, Carol",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,22,0,0,1,1,0,0,2,3,0,1,1,39,1,"2","2"
71,"A Shared Point of Access to Facilitate Interagency Collaboration","Fitch, Dale",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,1,1,0,0,2,3,0,1,1,39,1,"1","2"
72,"Protestant Christian Volunteers in Community Social Service Programs: What Motivates, Challenges, and Sustains Their Service","Garland, Diana R.; Myers, Dennis R.; Wolfer, Terry A.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,17,0,0,0,0,2,0,2,3,0,1,1,39,1,"3","2"
73,"A Multidimensional Agency Survey","O'Connor, Mary Katherine; Netting, F. Ellen; Fabelo, Humberto",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,24,0,0,0,0,1,0,1,4,0,1,1,39,1,"3","2"
74,"The Impact of Training and Other Variables on the Preparation of the Public Welfare Workforce","Sullivan, Dana J.; Antle, Becky F.; Barbee, Anita P.; Egbert, Rich",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,19,0,0,1,0,0,0,1,4,0,1,1,39,1,"4+","2"
75,"Organizational climate and treatment outcomes for African American clients receiving services at community mental health agencies","Larrison, Christopher R.; Schoppelrey, Susan; Hadley-Ives, Eric; Ackerson, Barry J.",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,28,0,0,0,2,0,0,2,3,0,1,1,39,1,"4+","2"
76,"Cutback management strategies: Experiences in nine county human service agencies","Packard, Thomas; Patti, Rino; Daly, Donna; Tucker-Tatlow, Jennifer; Farrell, Carrie",5,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,0,0,0,0,2,2,3,0,1,1,39,1,"4+","2"
77,"Social Entrepreneurship: Capacity Building Among Workers in Public Human Service Agencies","Savaya, Rivka; Packer, Pnina; Stange, Dorit; Namir, Ora",4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,22,0,0,0,0,1,1,2,3,0,1,1,39,1,"4+","2"
78,"How cost-effective is capacity building in grassroots organizations?","Sobeck, Joanne L.",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,21,0,0,0,0,0,0,0,4,0,0,0,39,0,"1","0"
79,"Leader Self-Awareness and Its Relationship to Subordinate Assessment of Organizational Atmosphere in the Social Welfare Sector","Tiuraniemi, Juhani",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,16,0,0,2,0,0,0,2,3,0,1,1,39,1,"1","2"
80,"Implementing an outcomes measurement system in substance abuse treatment programs","Bliss, Donna Leigh",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,19,0,0,0,0,1,0,1,4,0,1,1,39,1,"1","2"
81,"Relationships between chairpersons and CEOs in nonprofit organizations","Iecovich, Esther; Bar-Mor, Hadara",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,20,0,0,0,0,0,2,2,3,0,1,1,39,1,"2","2"
82,"Organizational ecology: A theoretical framework for examining collaborative partnerships","Ivery, Jan M.",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,13,0,0,0,0,1,0,1,4,0,1,1,39,1,"1","2"
83,"Management successes and struggles for AIDS service organizations","Poindexter, Cynthia Cannon",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,24,0,0,0,0,0,0,0,4,0,1,1,39,0,"1","2"
84,"Public assistance workers' confidence in welfare-to-work programs and the clients they serve","Jagannathan, R; Camasso, MJ",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,26,0,0,0,1,0,0,1,4,0,1,1,39,1,"2","2"
85,"The impact of organizational socialization tactics on role ambiguity and role conflict of newly hired social workers","Jaskyte, K",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,0,1,0,1,4,0,1,1,39,1,"1","2"
86,"Ownership, chain affiliation, and administrator decision-making autonomy in long-term care facilities","Kruzich, JM",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,20,0,0,0,2,0,0,2,3,0,1,1,39,1,"1","2"
87,"Teaching organization practice: A multi-paradigmatic approach","Netting, FE; O'Connor, MK",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,19,0,0,0,0,1,1,2,3,0,1,1,39,1,"2","2"
88,"Examining Perceptions of the Impact of Child and Family Services Reviews on Training: Reports from State Training Administrators","Amodeo, Maryann; Bratiotis, Christiana; Collins, Mary Elizabeth",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,0,0,0,0,0,4,0,1,1,39,0,"3","2"
89,"Delivering Welfare-to-Work Services in County Social Service Organizations: An Exploratory Study of Staff Perspectives","Austin, Michael J.; Johnson, Michelle A.; Chow, Julian Chun-Chung; De Marco, Allison; Ketch, Virginia",5,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,22,0,0,0,1,0,0,1,4,0,1,1,39,1,"4+","2"
90,"Standardizing Practice at a Victim Services Organization: A Case Analysis Illustrating the Role of Evaluation","Larsen, Mandi; Tax, Corey; Botuck, Shelly",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,11,0,0,0,0,1,0,1,4,0,1,1,39,1,"3","2"
91,"Proactively Managing for Outcomes in Statutory Child ProtectionThe Development of a Management Model","Wilson, Sandy",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,15,0,0,1,0,0,0,1,4,0,1,1,39,1,"1","2"
92,"Evaluation of problem-based learning as a method for teaching social work administration: A content analysis","Hartsell, Bruce D.; Parker, Aubrey J.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,19,0,0,0,0,0,0,0,4,0,1,1,39,0,"2","2"
93,"The Art of Social Work and the ADA's Essential Functions Provision: Challenges and Recommendations","O'Brien, Gerald V.; Leneave, Jana",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,13,0,0,0,1,0,0,1,4,0,1,1,39,1,"2","2"
94,"Management in local governments: An evolving landscape","Reilly, Thom",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,18,0,0,0,0,0,0,0,4,0,1,1,39,0,"1","2"
95,"Status of women in Texas state government: Organizational variables","Williams, Martha S.; Gray, William L.",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,21,0,0,1,0,0,0,1,4,0,1,1,39,1,"2","2"
96,"Applying Hierarchical Linear Modeling (HLM) to Social Work Administration Research","Kim, Tae Kuen; Solomon, Phyllis; Zurlo, Karen A.",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,16,0,0,0,0,0,0,0,4,0,1,1,39,0,"3","2"
97,"A process evaluation of collaborative planning for children of prisoners","Abram, Faye Y.; Linhorst, Donald",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,16,0,0,0,0,0,0,0,4,0,1,1,39,0,"2","2"
98,"The influence of social indicators data on decision making in regard to children's well-being","Ben-Arieh, Asher",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,16,0,0,0,0,0,0,0,4,0,1,1,39,0,"1","2"
99,"Racial diversity on ACORN's organizing staff, 1970-2003","Brooks, Fred",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,22,0,0,0,0,0,0,0,4,0,1,1,39,0,"1","2"
100,"Helping informal caregivers with responsive communication in the adult day care center","Cheung, Chau-kiu; Ngan, Raymond Man-hung",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,22,0,0,0,0,0,0,0,4,0,1,1,39,0,"2","2"
101,"Conflict management behaviors of welfare practitioners in individualist and collectivist culture","Wan, Ho Kit",1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,17,0,0,0,0,0,0,0,4,0,1,1,39,0,"1","2"
102,"Evaluating program outcomes as event histories","Unrau, YA; Coleman, H",2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,21,0,0,0,0,0,0,0,4,0,1,1,39,0,"2","2"
103,"Managing process innovations in welfare reform technology","Poole, DL; Ferguson, M; Schwab, AJ",3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,6,0,0,0,0,0,0,0,4,0,1,1,39,0,"3","2"
104,"The Time- and Context-Contingent Nature of Intersectionality and Interlocking Oppressions","Hulko, Wendy",1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,2,2,8,4,2,5,23,1,0,1,1,30,1,"1","2"
105,"The nature and impact of domestic violence across age cohorts","Wilke, DJ; Vinton, L",2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,13,0,2,2,1,4,3,12,1,0,0,1,30,1,"2","1"
106,"The international sexual trafficking of women and children - A review of the literature","Hodge, David R.; Lietz, Cynthia A.",2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,12,0,2,1,0,3,3,9,1,0,1,1,30,1,"2","2"
107,"Economic education for battered women - An evaluation of outcomes","Sanders, Cynthia K.; Weaver, Terri L.; Schnabel, Meg",3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,15,0,0,1,2,1,2,6,1,0,1,0,30,1,"3","1"
108,"How child protection workers support or further victimize battered mothers","Johnson, Susan P.; Sullivan, Cris M.",2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,17,0,0,3,4,2,4,13,1,0,1,1,30,1,"2","2"
109,"Gender-specific services in the juvenile justice system: A critical examination","Goodkind, S",1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,19,0,0,1,4,2,2,9,1,0,0,1,30,1,"1","1"
110,"Intimate partner violence and the workplace - Consequences and disclosure","Swanberg, Jennifer E.; Macke, Caroline",2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,16,0,2,1,0,2,1,6,1,0,0,1,30,1,"2","1"
111,"Mothering under difficult circumstances - Challenges to working with battered women","Krane, Julia; Davies, Linda",2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,16,0,1,1,5,2,0,9,1,0,0,1,30,1,"2","1"
112,"She was family - Women of color and animal-human connections","Risley-Curtiss, Christina; Holley, Lynn C.; Cruickshank, Tracy; Porcelli, Jill; Rhoads, Clare; Bacchus, Denise N. A.; Nyakoe, Soma; Murphy, Sharon B.",8,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,15,0,1,0,4,2,1,8,1,0,0,1,30,1,"4+","1"
113,"Contradictory tensions in anti-oppression practice in feminist social services","Barnoff, Lisa; Moffatt, Ken",2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,15,0,0,1,5,2,0,8,1,0,0,1,30,1,"2","1"
114,"Adult daughters of battered women - Resistance and resilience in the face of danger","Anderson, Kim M.; Danis, Fran S.",2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,14,0,1,0,0,2,3,6,1,0,0,1,30,1,"2","1"
115,"Feminists in Social Work Where Have All the Leaders Gone?","Lazzari, Marceline M.; Colarossi, Lisa; Collins, Kathryn S.",3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,12,0,1,2,1,2,1,7,1,0,1,0,30,1,"3","1"
