"","articleID","n_authors","coauthored","journal","hindex","pub_year","year1","year2","year3","year4","year5","total_cites","quartile"
"67",67,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2006,1,0,0,0,0,1,4
"68",68,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,0,2,2,3
"69",69,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,0,2,2,3
"70",70,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,1,0,0,2,3
"71",71,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,1,0,0,2,3
"72",72,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,0,0,2,0,2,3
"73",73,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,0,0,1,0,1,4
"74",74,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,0,0,0,1,4
"75",75,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,2,0,0,2,3
"76",76,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,0,2,2,3
"77",77,4,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,1,1,2,3
"78",78,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,0,0,0,4
"79",79,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,2,0,0,0,2,3
"80",80,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,1,0,1,4
"81",81,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,2,2,3
"82",82,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,1,0,1,4
"83",83,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,0,0,4
"84",84,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,1,0,0,1,4
"85",85,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,1,0,1,4
"86",86,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,2,0,0,2,3
"87",87,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,1,1,2,3
"88",88,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,0,0,0,0,0,4
"89",89,5,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,0,1,0,0,1,4
"90",90,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,0,0,1,0,1,4
"91",91,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,1,0,0,0,1,4
"92",92,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,0,0,0,4
"93",93,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,1,0,0,1,4
"94",94,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,0,0,4
"95",95,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,1,0,0,0,1,4
"96",96,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2009,0,0,0,0,0,0,4
"97",97,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,0,0,0,4
"98",98,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2008,0,0,0,0,0,0,4
"99",99,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,0,0,4
"100",100,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,0,0,4
"101",101,1,0,"ADMINISTRATION IN SOCIAL WORK",9,2007,0,0,0,0,0,0,4
"102",102,2,1,"ADMINISTRATION IN SOCIAL WORK",9,2006,0,0,0,0,0,0,4
"103",103,3,1,"ADMINISTRATION IN SOCIAL WORK",9,2005,0,0,0,0,0,0,4
"104",104,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,2,8,4,2,5,21,1
"105",105,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,2,2,1,4,3,12,1
"106",106,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,2,1,0,3,3,9,1
"107",107,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,1,2,1,2,6,1
"108",108,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,3,4,2,4,13,1
"109",109,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,1,4,2,2,9,1
"110",110,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,2,1,0,2,1,6,1
"111",111,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,1,1,5,2,0,9,1
"112",112,8,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,1,0,4,2,1,8,1
"113",113,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,1,5,2,0,8,1
"114",114,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,1,0,0,2,3,6,1
"115",115,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,1,2,1,2,1,7,1
"116",116,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,2,3,1,2,8,1
"117",117,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,1,2,1,3,2,9,1
"118",118,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,1,2,2,1,2,8,1
"119",119,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,2,4,1,7,1
"120",120,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,1,0,1,2,3
"121",121,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,1,0,2,1,3,7,1
"122",122,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,2,2,1,5,2
"123",123,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,2,1,1,1,5,2
"124",124,7,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,1,1,3,0,2,7,1
"125",125,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,2,0,2,3,7,1
"126",126,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,1,1,1,0,1,4,2
"127",127,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,1,1,3,0,2,7,1
"128",128,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,2,1,0,2,5,2
"129",129,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,0,0,4
"130",130,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,1,0,2,2,0,5,2
"131",131,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,1,0,0,1,3,5,2
"132",132,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,3,0,3,2
"133",133,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,1,0,2,3,2
"134",134,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,2,1,4,7,1
"135",135,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,1,1,2,3
"136",136,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,1,1,0,1,3,2
"137",137,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,1,0,2,1,4,2
"138",138,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,3,1,2,0,6,1
"139",139,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,2,1,0,1,0,4,2
"140",140,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,1,1,0,1,1,4,2
"141",141,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,1,1,1,0,0,3,2
"142",142,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,1,2,1,0,4,2
"143",143,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,1,0,1,2,4,2
"144",144,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,1,1,2,3
"145",145,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,1,0,1,2,3
"146",146,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,2,1,0,1,4,2
"147",147,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,2,1,0,0,0,3,2
"148",148,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,4,4,2
"149",149,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,1,0,2,1,4,2
"150",150,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,1,0,3,1,0,5,2
"151",151,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,0,2,1,3,2
"152",152,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,1,0,0,2,0,3,2
"153",153,6,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,1,1,2,0,0,4,2
"154",154,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,2,0,2,0,1,5,2
"155",155,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,0,1,1,2,3
"156",156,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,3,0,1,4,2
"157",157,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,1,1,0,1,3,2
"158",158,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,0,2,2,3
"159",159,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,1,0,0,1,4
"160",160,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,2,0,1,3,2
"161",161,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,1,1,0,1,3,2
"162",162,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,1,1,4
"163",163,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,1,1,1,1,4,2
"164",164,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,1,1,0,0,1,3,2
"165",165,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,2,0,1,0,3,2
"166",166,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,1,0,2,0,3,2
"167",167,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,1,0,0,2,0,3,2
"168",168,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,2,0,0,0,0,2,3
"169",169,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,0,0,0,4
"170",170,6,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,1,0,2,0,3,2
"171",171,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,1,0,1,1,3,2
"172",172,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,1,1,1,0,3,2
"173",173,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,1,1,0,2,3
"174",174,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,1,1,4
"175",175,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,1,0,1,0,2,3
"176",176,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,2,0,1,3,2
"177",177,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,1,0,1,2,3
"178",178,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,1,1,0,0,2,3
"179",179,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,1,0,0,0,1,4
"180",180,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,0,2,2,3
"181",181,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,2,1,0,3,2
"182",182,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,1,1,2,3
"183",183,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,1,1,2,3
"184",184,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,1,0,0,1,4
"185",185,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,1,0,0,1,4
"186",186,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,1,0,0,1,2,3
"187",187,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,1,0,0,1,4
"188",188,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,1,1,0,2,3
"189",189,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,0,1,0,1,4
"190",190,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,1,1,2,3
"191",191,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,1,1,2,3
"192",192,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,1,0,0,0,1,4
"193",193,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,2,0,0,2,3
"194",194,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,1,0,0,1,4
"195",195,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,1,0,1,4
"196",196,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,0,0,0,4
"197",197,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,2,0,0,0,2,3
"198",198,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,0,0,0,4
"199",199,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,1,0,0,0,0,1,4
"200",200,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,1,0,1,0,0,2,3
"201",201,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,1,1,0,0,2,3
"202",202,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,1,1,4
"203",203,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,1,1,2,3
"204",204,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,1,0,0,1,4
"205",205,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,0,0,4
"206",206,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,1,1,4
"207",207,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,0,0,4
"208",208,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,1,0,0,0,0,1,4
"209",209,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,0,0,1,1,4
"210",210,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,1,0,0,0,0,1,4
"211",211,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,0,0,1,1,4
"212",212,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,0,0,0,0,4
"213",213,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,1,0,1,4
"214",214,5,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,1,1,4
"215",215,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,0,0,4
"216",216,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,0,0,4
"217",217,4,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,1,0,0,0,0,1,4
"218",218,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,1,0,0,1,4
"219",219,5,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,0,1,1,4
"220",220,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,0,0,0,4
"221",221,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,1,0,1,4
"222",222,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,1,0,0,1,4
"223",223,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,1,0,1,4
"224",224,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2009,0,0,0,0,0,0,4
"225",225,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,0,0,4
"226",226,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,0,0,4
"227",227,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,0,0,4
"228",228,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,0,0,4
"229",229,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2008,0,0,0,0,0,0,4
"230",230,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,0,0,0,4
"231",231,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,0,0,0,4
"232",232,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2007,0,0,0,0,0,0,4
"233",233,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,0,0,0,4
"234",234,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2006,0,0,0,0,0,0,4
"235",235,3,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,0,0,4
"236",236,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,0,0,4
"237",237,2,1,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,0,0,4
"238",238,1,0,"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK",8,2005,0,0,0,0,0,0,4
"239",239,4,1,"ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT",2,2007,0,0,0,1,0,1,4
"240",240,1,0,"ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT",2,2006,0,2,0,0,0,2,3
"241",241,3,1,"ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT",2,2009,0,0,0,1,1,2,3
"242",242,1,0,"ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT",2,2008,0,0,0,1,1,2,3
"243",243,1,0,"ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT",2,2008,0,0,0,0,1,1,4
"244",244,1,0,"ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT",2,2007,1,0,0,0,0,1,4
"245",245,1,0,"ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT",2,2007,0,0,0,0,0,0,4
