"","Title","Authors","Corporate.Authors","Editors","Book.Editors","Source.Title","Publication.Date","Publication.Year","Volume","Issue","Part.Number","Supplement","Special.Issue","Beginning.Page","Ending.Page","Article.Number","DOI","Conference.Title","Conference.Date","Total.Citations","Average.per.Year","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X","X.1"
"11","Evidence-based practice in the social services: Implications for organizational change","Johnson, Michelle; Austin, Michael J.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"3",NA,"","","75","104","","10.1300/J147v30n03_06","","",14,1.4,0,0,0,2,4,0,1,1,2,3,NA,NA
"12","Understanding of Diversity and Inclusion in a Perceived Homogeneous Culture: A Study of Organizational Commitment and Job Performance Among Korean Employees","Cho, Sangmi; Barak, Michalle E. Mor","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"4",NA,"","","100","126","","10.1080/03643100802293865","","",13,1.62,0,0,0,0,0,0,1,1,1,5,NA,NA
"13","Social workers' current and desired involvement in various practice activities: Explorations and implications","Koeske, GF","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"2",NA,"","","63","84","","10.1300/J147v29n02_05","","",13,1.18,0,0,0,2,2,1,0,0,5,2,NA,NA
"14","Group Processes and Volunteering: Using Groups to Enhance Volunteerism","Haski-Leventhal, Debbie; Cnaan, Ram A.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","JAN-MAR 2009",2009,33,"1",NA,"","","61","80","","10.1080/03643100802508635","","",12,1.71,0,0,0,0,0,2,0,5,2,3,NA,NA
"15","Re-thinking child welfare training models to achieve evidence-based practices","Luongo, Gerardine","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"2",NA,"","","87","96","","10.1300/J147v31n02_06","","",12,1.33,0,0,0,1,2,3,3,0,0,0,NA,NA
"16","Performance-based contracting for human services: Does it work?","Martin, LL","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"1",NA,"","","63","77","","10.1300/J147v29n01_05","","",12,1.09,0,0,1,0,2,2,1,1,2,1,NA,NA
"17","The logic model: A tool for incorporating theory in development and evaluation of programs","Savaya, R; Waysman, M","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"2",NA,"","","85","103","","10.1300/J147v29n02_06","","",12,1.09,0,0,0,1,4,1,1,1,0,2,NA,NA
"18","From Government to Governance: Implications for Social Work Administration","Frahm, Kathryn A.; Martin, Lawrence L.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"4",NA,"","","407","422","PII 915324096","10.1080/03643100903173016","","",11,1.57,0,0,0,0,0,0,1,2,3,3,NA,NA
"19","Inter-agency collaboration: Policy and practice in child welfare and substance abuse treatment","Smith, Brenda D.; Mogro-Wilson, Cristina","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"2",NA,"","","5","24","","10.1300/J147v32n202_02","","",11,1.38,0,0,0,0,1,0,5,1,1,1,NA,NA
"20","Nonprofit adaptation to performance-based, managed care contracting in Michigan's foster care system","McBeath, Bowen; Meezan, William","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"2",NA,"","","39","70","","10.1300/J147v30n02_05","","",11,1.1,0,0,0,0,1,2,2,2,1,2,NA,NA
"21","Organizational Commitment of Social Workers: An Exploratory Study","Jaskyte, Kristina; Lee, Minhong","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"3",NA,"","","227","241","PII 912960725","10.1080/03643100902987283","","",10,1.43,0,0,0,0,0,0,1,3,2,2,NA,NA
"22","Facilitating Positive Emotional Labor in Peer-Providers of Mental Health Services","Mancini, Michael A.; Lawson, Hal A.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","JAN-MAR 2009",2009,33,"1",NA,"","","3","22","","10.1080/03643100802508619","","",10,1.43,0,0,0,0,0,1,0,3,3,1,NA,NA
"23","Exploring the transfer of learning from an executive development program for human services managers","Austin, Michael J.; Weisner, Stan; Schrandt, Eileen; Glezos-Bell, Stephanie; Murtaza, Niaz","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"2",NA,"","","71","90","","10.1300/J147v30n02_06","","",10,1,0,0,0,0,1,0,1,4,2,1,NA,NA
"24","The diminishing role of social work administrators in social service agencies: Issues for consideration","Wuenschel, Peter C.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"4",NA,"","","5","18","","10.1300/J147v30n04_02","","",10,1,0,0,0,0,1,2,1,0,0,3,NA,NA
"25","Transformational leadership in human service organizations","Mary, NL","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"2",NA,"","","105","118","","10.1300/J147v29n02_07","","",10,0.91,0,0,0,1,2,0,2,0,0,2,NA,NA
"26","Personal and Organizational Diversity Factors' Impact on Social Workers' Job Satisfaction: Results from a National Internet-Based Survey","Acquavita, Shauna P.; Pittman, Joan; Gibbons, Maya; Castellanos-Brown, Karen","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"2",NA,"","","151","166","PII 909793752","10.1080/03643100902768824","","",9,1.29,0,0,0,0,0,0,1,0,3,3,NA,NA
"27","Bilingual Social Workers: Language and Service Complexities","Engstrom, David W.; Piedra, Lissette M.; Min, Jong Won","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"2",NA,"","","167","185","PII 909793961","10.1080/03643100902768832","","",9,1.29,0,0,0,0,0,0,4,0,0,3,NA,NA
"28","Social administration and outcomes for consumers: What do we know?","Poertner, John","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"2",NA,"","","11","24","","10.1300/J147v03n02_03","","",9,0.9,0,0,0,0,2,1,2,1,1,2,NA,NA
"29","Child welfare management training: Towards a pedagogically sound curriculum","Preston, MS","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"4",NA,"","","89","111","","10.1300/J147v29n04_06","","",9,0.82,0,0,0,2,2,0,2,0,2,1,NA,NA
"30","The Impact of Work Stressors on the Life Satisfaction of Social Service Workers: A Preliminary Study","Pasupuleti, Sudershan; Allen, Reva I.; Lambert, Eric G.; Cluse-Tolar, Terry","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"3",NA,"","","319","339","PII 912962024","10.1080/03643100902988141","","",8,1.14,0,0,0,0,0,0,1,2,2,1,NA,NA
"31","The Culturally Responsive Social Service Agency: The Application of an Evolving Definition to a Case Study","Chow, Julian Chun-Chung; Austin, Michael J.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"4",NA,"","","39","64","","10.1080/03643100802293832","","",8,1,0,0,0,0,0,2,0,1,2,2,NA,NA
"32","Engaging fathers: Needs and satisfaction in child protective services","Huebner, Ruth A.; Werner, Mac; Hartwig, Steve; White, Stacy; Shewa, Daniel","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"2",NA,"","","87","103","","10.1300/J147v32n02_06","","",8,1,0,0,0,0,0,0,0,3,3,1,NA,NA
"33","Characteristics of workload management in pulic child welfare agencies","Juby, Cindy; Scannapieco, Maria","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"3",NA,"","","95","109","","10.1300/J147v31n03_06","","",8,0.89,0,0,0,0,1,1,1,2,1,0,NA,NA
"34","Management information systems: Why are they underutilized in the social services?","Carrilio, T","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"2",NA,"","","43","61","","10.1300/J147v29n02_04","","",8,0.73,0,0,0,2,0,2,1,1,1,0,NA,NA
"35","Developing a progressive advocacy program within a human services agency","Donaldson, Linda Plitt","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"2",NA,"","","25","48","","10.1300/J147v32n02_03","","",7,0.88,0,0,0,0,0,0,0,1,0,4,NA,NA
"36","Ten characteristics of empowerment-oriented social service organizations","Hardina, D","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"3",NA,"","","23","42","","10.1300/J147v29n03_03","","",7,0.64,0,0,0,0,1,4,0,0,1,1,NA,NA
"37","Evidence-Based Management: Origins, Challenges, and Implications for Social Service Administration","Briggs, Harold E.; McBeath, Bowen","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"3",NA,"","","242","261","PII 912960514","10.1080/03643100902987556","","",6,0.86,0,0,0,0,0,1,0,1,1,1,NA,NA
"38","Factors influencing nursing home social workers' intentions to quit employment","Simons, Kelsey V.; Jankowski, Thomas B.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"1",NA,"","","5","21","","10.1300/J147v32n01_02","","",6,0.75,0,0,0,1,0,1,0,2,1,1,NA,NA
"39","A workforce or workplace crisis? - Applying an organizational perspective to the study of human services employment","Haley-Lock, Anna","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"3",NA,"","","41","61","","10.1300/J147v31n03_04","4thAnnual Conference of Carework Conference","AUG   13, 2004",6,0.67,0,0,1,1,1,0,1,1,0,0,NA,NA
"40","Quality-directed activities and barriers to quality in social service organizations","Lee, Bethany R.; McMillen, J. Curtis; Knudsen, Kraig; Woods, Carol M.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"2",NA,"","","67","85","","10.1300/J147v31n02_05","","",6,0.67,0,0,1,1,2,0,1,0,0,0,NA,NA
"41","Interorganizational relationships: A source of innovation in nonprofit organizations?","Jaskyte, Kristina; Lee, Minhong","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"3",NA,"","","43","54","","10.1300/J147v30n03_04","","",6,0.6,0,0,0,0,0,1,0,1,0,2,NA,NA
"42","The development of a caseload weighting tool","Lechman, Constance","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"2",NA,"","","25","37","","10.1300/J147v30n02_04","","",6,0.6,0,0,0,0,0,1,0,1,2,2,NA,NA
"43","Homeless service delivery in the context of continuum of care","Wong, YLI; Park, JM; Nemon, H","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"1",NA,"","","67","94","","10.1300/J147v30n01_05","","",6,0.6,0,0,0,1,1,0,0,0,1,2,NA,NA
"44","Is social service contracting coercive, competitive, or collaborative? Evidence from the case allocation patterns of child protection services","Zullo, Roland","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"3",NA,"","","25","42","","10.1300/J147v30n03_03","","",6,0.6,0,0,0,1,1,1,0,1,0,1,NA,NA
"45","Facing the challenges of outcomes measurement: The role of transformational leadership.","Fisher, EA","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"4",NA,"","","35","49","","10.1300/J147v29n04_03","","",6,0.55,0,0,0,0,2,1,1,0,1,1,NA,NA
"46","Environmental and organizational features and their impact on structural and functional characteristics of boards in nonprofit organizations","Iecovich, E","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"3",NA,"","","43","59","","10.1300/J147v29n03_04","","",6,0.55,0,0,0,0,1,2,1,1,0,1,NA,NA
"47","Personal history and professional impairment: Implications for social workers and their employers","Pooler, David K.; Siebert, Darcy Clay; Faul, Anna C.; Huber, Ruth","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"2",NA,"","","69","85","","10.1300/J147v32n02_05","","",5,0.62,0,0,0,0,0,1,1,0,2,1,NA,NA
"48","Field practicum experiences of macro-oriented graduate students: Are we doing them justice?","Deal, Katherine Holtz; Hopkins, Karen M.; Fisher, Liz; Hartin, John","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"4",NA,"","","41","58","","10.1300/J147v31n04_05","","",5,0.56,0,0,0,0,0,0,0,2,1,2,NA,NA
"49","Coping in a constrained economy: Survival strategies of nonprofit human service organizations","Golensky, Martha; Mulder, Cray A.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"3",NA,"","","5","24","","10.1300/J147v30n03_02","50th Annual Program Meeting of the Council-on-Social-Work-Education","FEB 27-MAR 01, 2004",5,0.5,0,0,0,0,1,0,2,1,1,0,NA,NA
"50","Gender, ethnicity, and job satisfaction among social workers in Israel","Abu-Bader, SH","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"3",NA,"","","7","21","","10.1300/J147v29n03_02","","",5,0.45,0,0,0,0,2,0,1,0,1,1,NA,NA
"51","Empowerment of human service workers: Beyond intra-organizational strategies","Turner, LM; Shera, W","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"3",NA,"","","79","94","","10.1300/J147v29n03_06","","",5,0.45,0,0,0,0,0,3,0,0,0,2,NA,NA
"52","Giving up the Single Life: Leadership Motivations for Interorganizational Restructuring in Nonprofit Organizations","Campbell, David A.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"4",NA,"","","368","386","PII 915323140","10.1080/03643100903012297","","",4,0.57,0,0,0,0,0,1,0,0,3,0,NA,NA
"53","Addressing Cultural Barriers with Muslim Clients: An Agency Perspective","Graham, John R.; Bradshaw, Cathryn; Trew, Jennifer L.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"4",NA,"","","387","406","PII 915326568","10.1080/03643100903172950","","",4,0.57,0,0,0,0,0,0,1,0,0,2,NA,NA
"54","Where Do I Belong? Volunteer Attachment in a Complex Organization","Hustinx, Lesley; Handy, Femida","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"2",NA,"","","202","220","PII 909793916","10.1080/03643100902769129","","",4,0.57,0,0,0,0,0,0,1,1,1,1,NA,NA
"55","The direct effects of field of practice on core managerial role competencies: A study across three types of public sector human service agencies","Preston, Mark S.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"3",NA,"","","63","83","","10.1080/03643100801922597","","",4,0.5,0,0,0,0,1,0,0,0,1,1,NA,NA
"56","What motivates African-American charitable giving: Findings from a national sample","Carter, Vernon B.; Marx, Jerry","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"1",NA,"","","67","85","","10.1300/J147v31n01_05","","",4,0.44,0,0,0,0,0,0,0,3,0,1,NA,NA
"57","The Program Evaluation Grid: A planning and assessment tool for nonprofit organizations","Kluger, MP","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"1",NA,"","","33","44","","10.1300/J147v30n01_03","","",4,0.4,0,0,0,0,1,0,2,0,1,0,NA,NA
"58","Participatory decision-making among community coalitions: An analysis of task group meetings","Speer, PW; Zippay, A","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"3",NA,"","","61","77","","10.1300/J147v29n03_05","","",4,0.36,0,0,0,0,1,0,0,3,0,0,NA,NA
"59","The use of supervisory authority in Chinese cultural context","Tsui, MS; Ho, WS; Lam, CM","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"4",NA,"","","51","68","","10.1300/J147v29n04_04","","",4,0.36,0,1,0,0,1,0,0,1,0,0,NA,NA
"60","Faith and Collaboration: A Qualitative Analysis of Faith-Based Social Service Programs in Organizational Relationships","Thomas, M. Lori","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","JAN-MAR 2009",2009,33,"1",NA,"","","40","60","","10.1080/03643100802508643","9th Annual Conference of the Society-for-Social-Work-and-Research","JAN 13-16, 2005",3,0.43,0,0,0,0,0,0,1,0,2,0,NA,NA
"61","Organizational leadership and its impact on social workers' job satisfaction: A national study","Elpers, Kathy; Westhuis, David J.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"3",NA,"","","26","43","","10.1080/03643100801922399","","",3,0.38,0,0,0,0,0,0,0,0,2,1,NA,NA
"62","Barriers to independence among TANF recipients: Comparing caseworker records and client surveys","Ovwigho, Pamela Caudill; Saunders, Correne; Born, Catherine E.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"3",NA,"","","84","110","","10.1080/03643100801922662","","",3,0.38,0,0,0,0,0,0,1,0,1,1,NA,NA
"63","Managing for Outcomes: The Selection of Sets of Outcome Measures","Poertner, John; Moore, Terry; McDonald, Tomas P.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"4",NA,"","","5","22","","10.1080/03643100802293808","","",3,0.38,0,0,0,0,0,1,1,0,0,0,NA,NA
"64","Planning transformative programs: Challenges for advocates in translating change processes into effectiveness measures","Netting, F. Ellen; O'Connor, Mary Katherine; Fauri, David P.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"4",NA,"","","59","81","","10.1300/J147v31n04_06","","",3,0.33,0,0,0,0,0,0,0,0,0,1,NA,NA
"65","An assessment of the minimization of risk and the maximization of opportunity among private nonprofit agencies in Florida","Steen, Julie A.; Smith, Thomas E.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"3",NA,"","","29","39","","10.1300/J147v31n03_03","","",3,0.33,0,0,0,0,1,0,1,0,1,0,NA,NA
"66","Specialists in welfare offices: Do family violence experts matter?","Hetling, Andrea; Born, Catherine E.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"4",NA,"","","19","36","","10.1300/J147v30n04_03","","",3,0.3,0,0,0,0,0,1,1,0,0,1,NA,NA
"67","Understanding environmental influence on human service organizations: A study of the influence of managed care on child caring institutions","Jones, Johnny M.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"4",NA,"","","63","90","","10.1300/J147v30n04_05","","",3,0.3,0,0,1,0,0,0,0,0,0,0,NA,NA
"68","Social work and the new semantic information revolution","O'Looney, J","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"4",NA,"","","5","34","","10.1300/J147v29n04_02","","",3,0.27,0,0,0,0,0,2,0,0,0,1,NA,NA
"69","Crazy versus epoxy glueing: Control and trust in the merger of human service organizations","Teram, E; Igra, U","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"1",NA,"","","45","61","","10.1300/J147v29n01_04","Mergers and Acquisitions Summit","JUN 06-09, 2002",3,0.27,0,0,0,0,0,2,1,0,0,0,NA,NA
"70","Examining Organizational Learning for Application in Human Service Organizations","Busch, Monique; Hostetter, Carol","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"3",NA,"","","297","318","PII 912962627","10.1080/03643100902987929","","",2,0.29,0,0,0,0,0,0,1,1,0,0,NA,NA
"71","A Shared Point of Access to Facilitate Interagency Collaboration","Fitch, Dale","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"2",NA,"","","186","201","PII 909794916","10.1080/03643100902769020","","",2,0.29,0,0,0,0,0,0,1,1,0,0,NA,NA
"72","Protestant Christian Volunteers in Community Social Service Programs: What Motivates, Challenges, and Sustains Their Service","Garland, Diana R.; Myers, Dennis R.; Wolfer, Terry A.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","JAN-MAR 2009",2009,33,"1",NA,"","","23","39","","10.1080/03643100802508627","","",2,0.29,0,0,0,0,0,0,0,0,2,0,NA,NA
"73","A Multidimensional Agency Survey","O'Connor, Mary Katherine; Netting, F. Ellen; Fabelo, Humberto","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","JAN-MAR 2009",2009,33,"1",NA,"","","81","104","","10.1080/03643100802508650","","",2,0.29,0,0,0,0,0,0,0,0,1,0,NA,NA
"74","The Impact of Training and Other Variables on the Preparation of the Public Welfare Workforce","Sullivan, Dana J.; Antle, Becky F.; Barbee, Anita P.; Egbert, Rich","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2009",2009,33,"3",NA,"","","278","296","PII 912962403","10.1080/03643100902987903","","",2,0.29,0,0,0,0,0,0,1,0,0,0,NA,NA
"75","Organizational climate and treatment outcomes for African American clients receiving services at community mental health agencies","Larrison, Christopher R.; Schoppelrey, Susan; Hadley-Ives, Eric; Ackerson, Barry J.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"3",NA,"","","111","138","","10.1080/03643100801922696","","",2,0.25,0,0,0,0,0,0,2,0,0,0,NA,NA
"76","Cutback management strategies: Experiences in nine county human service agencies","Packard, Thomas; Patti, Rino; Daly, Donna; Tucker-Tatlow, Jennifer; Farrell, Carrie","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"1",NA,"","","55","75","","10.1300/J147v32n01_05","Annual Program Meeting of the Council on Social Work Education","FEB, 2005",2,0.25,0,0,0,0,0,0,0,0,2,0,NA,NA
"77","Social Entrepreneurship: Capacity Building Among Workers in Public Human Service Agencies","Savaya, Rivka; Packer, Pnina; Stange, Dorit; Namir, Ora","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"4",NA,"","","65","86","","10.1080/03643100802293840","","",2,0.25,0,0,0,0,0,0,0,1,1,0,NA,NA
"78","How cost-effective is capacity building in grassroots organizations?","Sobeck, Joanne L.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"2",NA,"","","49","68","","10.1300/J147v32n02_04","","",2,0.25,0,0,0,0,0,0,0,0,0,1,NA,NA
"79","Leader Self-Awareness and Its Relationship to Subordinate Assessment of Organizational Atmosphere in the Social Welfare Sector","Tiuraniemi, Juhani","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2008",2008,32,"4",NA,"","","23","38","","10.1080/03643100802293824","","",2,0.25,0,0,0,0,0,2,0,0,0,0,NA,NA
"80","Implementing an outcomes measurement system in substance abuse treatment programs","Bliss, Donna Leigh","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"4",NA,"","","83","101","","10.1300/J147v31n04_07","","",2,0.22,0,0,0,0,0,0,1,0,1,0,NA,NA
"81","Relationships between chairpersons and CEOs in nonprofit organizations","Iecovich, Esther; Bar-Mor, Hadara","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"4",NA,"","","21","40","","10.1300/J147v31n04_04","","",2,0.22,0,0,0,0,0,0,0,2,0,0,NA,NA
"82","Organizational ecology: A theoretical framework for examining collaborative partnerships","Ivery, Jan M.","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"4",NA,"","","7","19","","10.1300/J147v31n04_03","","",2,0.22,0,0,0,0,0,0,1,0,0,0,NA,NA
"83","Management successes and struggles for AIDS service organizations","Poindexter, Cynthia Cannon","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2007",2007,31,"3",NA,"","","5","28","","10.1300/J147v31n03_02","","",2,0.22,0,0,0,0,0,0,0,0,0,0,NA,NA
"84","Public assistance workers' confidence in welfare-to-work programs and the clients they serve","Jagannathan, R; Camasso, MJ","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2006",2006,30,"1",NA,"","","7","32","","10.1300/J147v30n01_02","","",2,0.2,0,0,0,0,1,0,0,1,0,0,NA,NA
"85","The impact of organizational socialization tactics on role ambiguity and role conflict of newly hired social workers","Jaskyte, K","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"4",NA,"","","69","87","","10.1300/J147v29n04_05","","",2,0.18,0,0,0,0,1,0,0,1,0,0,NA,NA
"86","Ownership, chain affiliation, and administrator decision-making autonomy in long-term care facilities","Kruzich, JM","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"1",NA,"","","5","24","","10.1300/J147v29n01_02","","",2,0.18,0,0,0,2,0,0,0,0,0,0,NA,NA
"87","Teaching organization practice: A multi-paradigmatic approach","Netting, FE; O'Connor, MK","",NA,NA,"ADMINISTRATION IN SOCIAL WORK","2005",2005,29,"1",NA,"","","25","43","","10.1300/J147v29n01_03","Symposium of the Association-for-Community-Organization-and-Social-Administration","FEB, 2002",2,0.18,0,0,0,0,1,1,0,0,0,0,NA,NA
