abstract,title,year,country,journal
,Caregiving and Traumatic Brain Injury: Coping with Grief and Loss.,2015,United States,Health Soc Work
"This study investigated the utility of the Youth Risk Behavior Survey (YRBS) to document associations between homeless status and weight while estimating the prevalence of youth homelessness in three regions. A school-based survey, the YRBS includes youths who have been difficult to involve in past research. Analysis of 2011 YRBS data produced population-weighted estimates of youth homelessness prevalence separately for Connecticut, Delaware, and Philadelphia. Public high school students anonymously reported their housing status, height, and weight on the YRBS. Height and weight were converted to body mass index (BMI) percentile-for-age scores. Homelessness was associated with higher BMI percentile scores for youths compared with nonhomeless peers. Associations between BMI percentile and different forms of homelessness (homeless with family, unaccompanied homeless without family) were explored at each site. Estimates of one-month homelessness prevalence ranged from 3.9 percent to 5.9 percent at each site. Homelessness, especially family homelessness, is associated with risk for higher BMI. The YRBS is an informative tool for estimating the prevalence of youth homelessness, expanding on what is known through other, more commonly used methods.",Youth Homelessness: Prevalence and Associations with Weight in Three Regions.,2015,United States,Health Soc Work
"Living kidney transplantation is a treatment option for some people with end-stage kidney disease. The procedure has low complication rates and positive outcomes; despite this evidence, the number of living kidney donations has decreased in recent years, and the causes are not well understood. This qualitative study sought to explore the experiences of potential living kidney donors before the transplantation. A total of 19 semistructured interviews were conducted with potential living kidney donors in Perth, Western Australia. Results reported here relate to participants' experience of the employment and financial implications of living kidney donation. Participants incurred direct and indirect costs during the time leading up to the transplantation, and many had concerns about the potential financial impact during the recovery period. Employment status, occupation type, and financial commitments affected participants' experiences, and financial concerns were exacerbated for those who were donating to their partners. Results suggest that potential living kidney donors would benefit from tailored financial planning advice to help them prepare for the time of the surgery and the recovery period.",The Cost of Organ Donation: Potential Living Kidney Donors' Perspectives.,2015,United States,Health Soc Work
"This study focused on how acculturative stress and psychological distress affect Puerto Rican-born women residing in the United States. Mediation path analysis was used to estimate relationships between contextual factors, acculturative stress, and psychological distress. The fit of the data to the final model was adequate as estimated using chi-square analysis, comparative fit index, Tucker-Lewis Index, and root-mean-square error of approximation. Racial discrimination (b = 0.38, p = .01), difficulties visiting family abroad (b = 0.26, p = .03), and age at immigration (b = 0.19, p = .03) were positively associated with acculturative stress. The factor English skills (b = -0.31, p = .02) was negatively associated with acculturative stress. Racial discrimination had the strongest effect on acculturative stress, followed by English skills, difficulties visiting family abroad, and age at immigration. Racial discrimination (b = 0.39, p = .01) and financial constraints (b = 0.30, p = .01) were positively associated with psychological distress. Racial discrimination affected the women's psychological distress the most, followed by economic contexts (financial constraints). This study informs practitioners in considering the significant contextual factors relevant to the psychological distress of Puerto Rican-born women.",Puerto Rican-Born Women in the United States: Contextual Approach to Immigration Challenges.,2015,United States,Health Soc Work
"The aim of this study was to further understanding of what it means for family caregivers to be included in their relatives' care and identify what type of care they are providing. This study used a qualitative research design to recruit 12 participants, who were family caregivers, from the adult neurology and neurosurgery units at a hospital located in Toronto, Ontario, Canada. The data were collected using semistructured interviews, which were conducted in person and ranged between 30 and 60 minutes in length. Analysis of the data was conducted using phenomenological guidelines and principles. Upon review, the results indicated that the participants shared common experiences that were grouped into three main themes: (1) unfamiliarity with the hospital environment and procedures, (2) identifying the hidden realities of families and caregivers, and (3) strengthening collaborative dialogues and opportunities. Overall, this study exemplified that the need to continue to recognize family caregivers' experiences and their involvement is paramount in being able to understand how and in what way patient care can be better optimized collaboratively, during treatment delivery and recovery stages.",Qualitative Study: Exploring the Experiences of Family Caregivers within an Inpatient Neurology and Neurosurgery Hospital Setting.,2015,United States,Health Soc Work
"This article proposes the use of attachment theory in clinical social work practice. This theory is very appropriate in this context because of its fit with social work concepts of person-in-situation, the significance of developmental history in the emergence of psychosocial problems, and the content of human behavior in the social environment. A literature review supports the significance of the theory. Included are ideas about how attachment styles and working models may be used in assessment and treatment to help clients achieve a secure attachment style.",Application of Attachment Theory in Clinical Social Work.,2015,United States,Health Soc Work
"This article presents a comprehensive review of information available on campus Web sites at all four-year colleges and universities in New Jersey. This study used a descriptive, content analysis methodology with a sample that consisted of 28 college and university Web pages. To evaluate the Web sites, ecological approaches were rated with a checklist created to document the presence and extent of information about sexual assault, including five key areas: (1) general information about sexual assault, (2) the availability of services for students, (3) information about how to report an incident of sexual assault, (4) whether there was a department exclusively dedicated to the school's response to sexual assault, and (5) information about the existence of a policy prohibiting sexual assault on campus. Almost all of the schools provided policies and information about services for students. However, the comprehensiveness of the information and the ease of finding it varied greatly by campus. The article concludes with a discussion of the implications for social workers and those responding to survivors of sexual assault on a college campus.",A Review of Sexual Assault Information on College Web Sites.,2015,United States,Health Soc Work
"The high rates of sexual risk behaviors, particularly among African American youths who may not be aware of their HIV status, provide indication that, unless prevention efforts are enhanced, this vulnerable group of youths will remain at greater risk for negative health status outcomes. Parents are important in efforts to reduce risk among youths and often have a willingness to be sexuality educators for their children; however, communication barriers often impede their ability to provide preventive sexual health knowledge to their youths. Social workers are often presented with opportunities to help parents develop effective sexual health communication skills in informal settings when formal interventions are not feasible. The present effort considers solution-focused strategies social workers can use to help parents overcome barriers and communicate more positively with their youths about sexual health.",Solution-Focused Strategies for Effective Sexual Health Communication among African American Parents and Their Adolescents.,2015,United States,Health Soc Work
"Social workers play a key role in the delivery of interdisciplinary health care. However, in the past decade, concerns have been raised about social work's sustainability and contributions in a changing health care sector. These changes come at a time when older patients are more complex and vulnerable than ever before. In this article, using a strengths-based approach, the authors examine the key contributions made by social workers working with older patients with hip fracture as they strive to achieve successful care transitions. Twenty-five interviews with health care professionals (HCPs) were conducted and then analyzed using an analytical coding framework. Although social workers are vital, they are often underused and overlooked in the care of hip fracture patients. The authors sketch the important contributions that social workers make to care transitions after hip fracture, specifically informational continuity; patient-HCP relational continuity; conflict resolution; mediation among family, patient, and HCP (for example, doctors and nurses); collaboration with family caregivers and community supports; and relocation counseling.",NA,2015,Canada,Health Soc Work
,The Case for a National Health Social Work Practice-Based Research Network in Addressing Health Equity.,2015,United States,Health Soc Work
"Beginning in 2011, The Mount Sinai Hospital participated in the New York State Department of Health Medicaid Health Home (HH) program, evolving into what is now the Mount Sinai Health Home (MSHH). The lead HH designation required social work leadership to develop and implement this initiative within a large health system, consisting of five New York City area hospitals. Additionally, strategic partnerships with sub-contracted, community based organizations and Medicaid Managed Care Organizations (MCOs) were essential to the HH's success, and were facilitated by inter- and intra-organization collaboration. This article provides an overview of the HH model and discusses the process by which MSHH was formed, the integral role of social work in its development and success, challenges and lessons learned, and recommendations for the development of the profession's future workforce. The authors intend to leave the reader with a model of social work leadership within the current environment of health care reform, and to exemplify social work care coordination and engagement of a hard to reach patient population.",Social Work Leadership as Ambassadors of Health Care Reform: Developing and Implementing a Health Home Program Within a Large Urban Health System.,2015,NA,Soc Work Health Care
"In July 2012, The Mount Sinai Medical Center was selected by the Centers for Medicare and Medicaid to join the first cohort of Accountable Care Organizations (ACOs) in this country under its Medicare Shared Savings Program. A critical component of an ACO is care coordination of patients, which is a complex concept, intertwined with other concepts related to quality, delivery and organization of health care. This article provides an overview of the development, structure and functionality of Mount Sinai Care, the ACO of The Mount Sinai Health System, and how it was the beginning of its work in population health management. It describes the important role of social work leadership in the development and operation of its care coordination model. The model's successes and challenges and recommendations for future development of care coordination and population health management are outlined.","The Role of Social Work Leadership: Mount Sinai Care, the Accountable Care Organization, and Population Health Management.",2015,NA,Soc Work Health Care
"In the era of Medicaid Redesign and the Affordable Care Act, the emergency department (ED) presents major opportunities for social workers to assume a leading role in the delivery of care. Through GEDI WISE-Geriatric Emergency Department Innovations in care through Workforce, Informatics and Structural Enhancements,-a unique multidisciplinary partnership made possible by an award from the Center for Medicare and Medicaid Innovation, social workers in The Mount Sinai ED have successfully contributed to improvements in health outcomes and transitions for older adults receiving emergency care. This article will describe the pivotal and highly valued role of the ED social worker in contributing to the multidisciplinary accomplishments of GEDI WISE objectives in this new model of care.",The Evolving Role of Geriatric Emergency Department Social Work in the Era of Health Care Reform.,2015,NA,Soc Work Health Care
"PURPOSE: Untreated parent mental health problems have deleterious effects upon the family, yet caregivers are unlikely to receive services for their emotional health. We conducted a review of treatments and services for children and adolescents that also offered services to parents.METHODS: Child treatment and service studies were included in the present study if they analyzed parent symptoms or diagnoses over time, and the intervention contained a parent component.RESULTS: Of 200 studies reviewed, 20 contained a component for the parent and assessed the parent's emotional health at multiple time points. Depression and anxiety were the most commonly studied parental mental health problem; most parent components consisted of behavioral strategies in service of the child's psychological health.CONCLUSION: Major shifts in health care policy affecting mental health services provide an opportunity to create integrated and coordinated health and behavioral health systems. Attention must be given to ensure that the workforce of providers, the administrative structures, and the reimbursement strategies are strengthened and connected to serve the needs of parents/caregivers and children in order to enhance family outcomes.",Addressing Parental Mental Health Within Interventions for Children: A Review.,2015,United States,Res Soc Work Pract
"Among children who remain at home with their permanent caregivers following a child welfare investigation, few who manifest emotional and behavioral difficulties actually engage in mental health treatment. The Multiple Family Group service delivery model to reduce childhood disruptive behavior disorders (MFG) has shown promise in engaging child welfare-involved families. This qualitative study examines caregiver perceptions of factors that influence retention in MFGs among child welfare-involved families.</AbstractText>: Among children who remain at home with their permanent caregivers following a child welfare investigation, few who manifest emotional and behavioral difficulties actually engage in mental health treatment. The Multiple Family Group service delivery model to reduce childhood disruptive behavior disorders (MFG) has shown promise in engaging child welfare-involved families. This qualitative study examines caregiver perceptions of factors that influence retention in MFGs among child welfare-involved families.METHODS: Twenty-five predominantly Black and Hispanic adult (ages 26-57) female caregivers with child welfare services involvement participated in individual, in-depth interviews about their experience with MFGs. Transcribed interview data were thematically coded guided by grounded theory methodology. Emergent themes were subsequently organized into a conceptual framework.RESULTS: Within the overarching influence of child welfare services involvement, specific components of MFGs influencing retention included the quality of interaction among group members, group facilitators' attentive approach with caregivers, supports designed to overcome logistical barriers (i.e., child care, transportation expenses, meals), and perceptions of MFG content and activities as fun and helpful. Caregiver factors, including their mental health and personal characteristics, as well as children's behavior, (i.e., observed changes in behavioral difficulties) were also associated with retention.CONCLUSIONS: High acceptability suggest utility for implementing MFGs within settings serving child welfare involved families, with additional modifications to tailor to setting and client features.",Multiple Family Groups for Child Behavior Difficulties Retention Among Child Welfare-Involved Caregivers.,2015,United States,Res Soc Work Pract
"Youth living in poverty face compounding familial and environmental challenges in utilizing effective community mental health services. They have ongoing stressors that increase their dropout rate in mental health service use. Difficulties also exist in staying engaged in services when they are involved with the child welfare system. This study examines the 4Rs 2Ss Family Strengthening Program, developed across four broad conceptual categories related to parenting skills and family processes that form a multiple family group service delivery approach. A total of 321 families were enrolled in this randomized intervention study, assigned to either the 4Rs 2Ss Family Strengthening Program or standard care services. Caregivers and their children randomly assigned to the experimental condition received a 16 week multiple family group intervention through their respective outpatient community mental health clinic. Data was collected at baseline, midtest (8 weeks), posttest (16 weeks), and 6 month follow-up. Major findings include high engagement in the 4Rs 2Ss Family Strengthening Program, compared to standard services. Although child welfare status is not related to attendance, family stress and parental depression are also related to participant engagement in this multiple family group intervention. Involvement in the 4Rs 2Ss Family Strengthening Program resulted in improved effects for child behaviors. Lastly, no evidence of moderation effects on family stress, child welfare involvement, or parental needs were found. The 4Rs 2Ss Family Strengthening Program appeared able to engage families with more complex &quot;real world&quot; needs.",Meeting the complex needs of urban youth and their families through the 4Rs 2Ss Family Strengthening Program: The &quot;real world&quot; meets evidence-informed care.,2015,United States,Res Soc Work Pract
,Introduction to the Special Issue: Social Work Takes a Leading Role in Affordable Care Act Initiatives at The Mount Sinai Hospital.,2015,NA,Soc Work Health Care
"Intervention research is essential to help Hispanic American adolescents avoid drug use. This article describes an intervention research program aimed at preventing drug use among these youths. Grounded in salient epidemiological data, the program is informed by bicultural competence, social learning, and motivational interviewing theories. The program, called Vamos, is aimed at the risk and protective factors as well as the cultural prerogatives that demark the adolescent years of Hispanic American youths. Innovative in its approach, the program is delivered through a smartphone application (app). By interacting with engaging content presented via the app, youths can acquire the cognitive-behavioral skills necessary to avoid risky situations, urges, and pressures associated with early drug use. The intervention development process is presented in detail, and an evaluation plan to determine the program's efficacy is outlined. Lessons for practice and intervention programming are discussed.",Preventing Drug Abuse Among Hispanic Adolescents: Developing a Responsive Intervention Approach.,2015,United States,Res Soc Work Pract
"Little is known about how parents make drinking decisions and weigh the risks and rewards of alcohol consumption in specific contexts. This qualitative study examined two questions: 1. What factors influence parental drinking decisions in different drinking contexts? 2. What do parents perceive as the risks and rewards of alcohol consumption in different drinking contexts? Purposive sampling was used to select sixty parents of children aged 10 or younger living in four mid-sized California cities. Data were collected via in-depth, semi-structured interviews. Many parents viewed drinking at family get-togethers or parties as protective of children, since the presence of multiple adults and children provide buffers when parents become intoxicated. In contrast, parents noted that drinking at home, and particularly drinking alone, transmitted potentially negative messages. Social pressures and contexts influence alcohol consumption among parents and could provide potential avenues for intervention against alcohol-related harms.",NA,2015,United States,Fam Soc
"Homelessness affects a large and increasing number of families in the United States, and exposure to violence and other potentially traumatic events is common among homeless families. It is important to understand more about this population and, more specifically, about the relationship between youth mental health and caregiver mental health and trauma exposure among homeless families, in order to better serve the needs of this vulnerable population. The objective of this study is to explore the relationships between caregiver exposure to violence, caregiver depression, and youth depression and behavioral problems among homeless families. Preliminary findings indicate that among this sample of homeless families, caregiver violence exposure has statistically significant relationships with both youth behavioral problems and youth depression symptoms, as mediated by caregiver depression. These findings indicate that youth behavioral health is associated with caregiver mental health, which, in turn, is associated with caregiver trauma exposure. This highlights the importance of taking into account adult mental health while treating youth externalizing and internalizing behaviors and ensuring that caregivers, too, have access to adequate treatment and supports. Furthermore, this treatment should be trauma informed, given the link between trauma and mental health.","Relationships Between Caregiver Violence Exposure, Caregiver Depression, and Youth Behavioral Health Among Homeless Families.",2015,United States,Res Soc Work Pract
"OBJECTIVE: This article describes Phase 1 of a pilot that aims to develop, implement, and test an intervention to educate and simultaneously engage highly stressed Latino parents in child mental health services. A team of Spanish-speaking academic and community co-investigators developed the intervention using a community-based participatory research approach and qualitative methods.METHOD: Through focus groups, the team identified parents' knowledge gaps and their health communication preferences.RESULTS: Latino parents from urban communities need and welcome child mental health literacy interventions that integrate printed materials with videos, preferably in their native language, combined with guidance from professionals.CONCLUSION: A 3-minute video in Spanish that integrates education entertainment strategies and a culturally relevant format was produced as part of the intervention to educate and simultaneously engage highly stressed Latino parents in child mental health care. It is anticipated that the intervention will positively impact service use among this group.",Understanding Latino Parents' Child Mental Health Literacy: Todos a bordo/All Aboard.,2015,United States,Res Soc Work Pract
"This qualitative study explored themes that described families taking care of elderly relatives with dementia in Chinese society. Ten families were invited for two in-depth family interviews involving spousal caregivers, child caregivers, and care recipients. Five themes resulted: positive affection as coping strategies, power and control in the caregiving relationship, adult children's involvement in caregiving, sibling rivalry, and intergenerational conflicts. The ways these themes functioned and helped in dementia care, the research implications, and limitations are discussed.",Living With Dementia: An Exploratory Study of Caregiving in a Chinese Family Context.,2015,United States,Soc Work Health Care
"Nearly 13% of the U.S. population is comprised of foreign-born individuals, with Somalis constituting one of the largest resettled groups. Research suggests that, among Somali refugees, rates of mental illness are high. Yet research shows Somalis underutilize mental health services. Understanding their perceptions of mental illness and its cures may help practitioners to design more effective treatments for this population. Thus, this pilot study investigated Somali refugees' perceptions of mental illness and its treatments. Using purposive sampling, this qualitative study interviewed 20 Somali refugees using a semi-structured interview guide. Qualitative analysis yielded participants' perceptions of mental illness through their descriptions of physical symptoms accompanying mental illness, the stigma of mental illness, causes of mental illness, medical and non-medical treatments for mental illness, spirit possession causing mental illness, and the Qur'an as treatment for mental illness. Such information may help practitioners in the United States approach Somali clients in the most culturally coherent manner.",Somali Refugees' Perceptions of Mental Illness.,2015,United States,Soc Work Health Care
"This article describes the outcomes of research into how individuals with mental health problems at the National Centre of Mental Health in Jordan perceived the causes of their mental health problems, the coping strategies they employed, how they sought help, and how they experienced what is termed the process of recovery. Semi-structured interviews were conducted with 10 male and 10 female patients diagnosed with a range of mental health problems. The research suggests that each person perceived recovery uniquely and that, for some, religion was viewed as being central to recovery. The research also suggests that social workers and other mental health professionals working with Muslim patients can better contribute to their recovery if they understand and respect the central role of these patients' religious beliefs and &quot;faith journeys.&quot;",Reflections on Recovery in Mental Health: Perspectives From a Muslim Culture.,2015,United States,Soc Work Health Care
"This study compared how the presentation of end-of-life (EOL) choices influences responses by Latino and White older adults relative to resuscitation preferences. The authors apply prospect theory, which deals with decision making based on how choices are framed. Participants were presented with differently ordered questions framing a resuscitation scenario and asked to rate their preferences. Results show that Latino participants were significantly influenced by the framing order of treatment options with regard to resuscitation while Whites were not. Health professionals need to be aware that the ways they present EOL options are likely to affect the choices of Latino older adults. Further research is needed with Latino subgroups.",Framing Effects on End-of-Life Preferences Among Latino Elders.,2015,United States,Soc Work Health Care
"The aims of this pilot study were: (a) to test the feasibility of prolonged exposure (PE) therapy conducted by a social worker staff on female patients in methadone program clinics who were survivors of child sexual abuse or rape and (b) to examine preliminary outcomes of PE on posttraumatic stress disorder (PTSD), depression, and illicit drug use at pre- and posttreatment, and up to 12-month follow-ups. Twelve female methadone patients who were survivors of child sexual abuse or rape diagnosed with PTSD were enrolled in 13-19 weekly individual PE sessions. Assessments were conducted at pre-, mid-, and posttreatment, as well as at 3, 6, and 12-month follow-ups. The treatment outcomes measures included PTSD symptoms, depressive symptoms, and illicit drug use. Ten of the 12 study patients completed treatment. PTSD and depressive symptoms showed significant reduction. No relapse to illicit drug use was detected. These preliminary results suggest that PE may be delivered by methadone social workers with successful outcomes. Further research should test the efficacy of PE among methadone patients in a randomized control trial with standard care as the control condition.",Prolonged Exposure for Treating PTSD Among Female Methadone Patients Who Were Survivors of Sexual Abuse in Israel.,2015,United States,Soc Work Health Care
"This study compared three age groups of uninsured adults, young (26-44), middle-aged (45-64), and older (65â‰¥), to examine heterogeneity of the uninsured. The pooled 2000-2007 Medical Expenditure Panel Survey was analyzed (NÂ =Â 22,246). The findings demonstrated that the three groups were very different regarding their individual characteristics, health service utilization, and health beliefs. Compared with uninsured young adults, uninsured middle-aged individuals reported worse health statuses, paid higher out-of-pocket medical expenditures, and had more positive attitudes toward insurance and health care. Considering the policy goals of the Affordable Care Act, understanding the uninsured by age will facilitate targeted interventions to decrease the number of uninsured.","A Comparison of Young, Middle-Aged, and Older Uninsured Individuals in the United States: Health Beliefs and Satisfaction With Providers.",2015,United States,Soc Work Health Care
"Caring for an older adult with memory loss is stressful. Caregiver stress could produce negative outcomes such as depression. Previous research is limited in examining multiple intermediate pathways from caregiver stress to depressive symptoms. This study addresses this limitation by examining the role of self-efficacy, social support, and problem solving in mediating the relationships between caregiver stressors and depressive symptoms. Using a sample of 91 family caregivers, we tested simultaneously multiple mediators between caregiver stressors and depression. Results indicate that self-efficacy mediated the pathway from daily hassles to depression. Findings point to the importance of improving self-efficacy in psychosocial interventions for caregivers of older adults with memory loss.","Stressors and Caregivers' Depression: Multiple Mediators of Self-Efficacy, Social Support, and Problem-Solving Skill.",2015,United States,Soc Work Health Care
"For human service care providers working in hospitals, balancing the motivation for interpersonal engagement with patients alongside self-protective emotional boundaries is a familiar struggle. Empathy is a critical, although not thoroughly understood, aspect of patient care as well as an important ingredient for feeling work satisfaction and meaning. However, empathy can lead to feelings of sympathetic emotional distress and even burnout. This article uses an illustrative case study from a medical social worker in the emergency room to explore these themes of empathy, burnout, and the search for meaning in work. The discussion examines areas for further empirical study and intervention to support care-provider empathy and avoid burnout.",Professional Distress and Meaning in Health Care: Why Professional Empathy Can Help.,2015,United States,Soc Work Health Care
"This study was conducted in Ankara, Turkey. In the study, questionnaire form and Self-Control Schedule (SCS) was used. According to the t-test, statistically significant difference between self-control skill and &quot;support of family members to each other&quot; was found. Analysis showed that the occupational status and educational level had a significant effect on self-control skill. Besides, there is a positive relationship between average monthly income and self-control skill, while there is a negative correlation among number of hospitalizations, diagnosis period, and self-control skill. Our results may be a guide to develop more effective intervention strategies for tuberculosis management.",The Determination of Self-Control Skill of Tuberculosis Patients According to Some Variables.,2015,United States,Soc Work Health Care
"The results of a literature review of social work intervention research with adult cancer patients found only a small number of studies conducted by social work researchers. The findings of the review are presented followed by a reflective discussion on the nature of knowledge-building and research knowledge for practice. Knowledge building is considered as a continuous, negotiated process within communities of practice focused on psychosocial perspectives that draw on a range of knowledge sources. Epistemology, worldviews and research orientations are considered along with the values and stance of social work, all of which create the domain of the practice-researcher.",Social Work Intervention Research With Adult Cancer Patients: A Literature Review and Reflection on Knowledge-Building for Practice.,2015,United States,Soc Work Health Care
"Although literature documents the need for hospital social workers, nurses, and medical residents to engage in patient advocacy, little information exists about what predicts the extent they do so. This study aims to identify predictors of health professionals' patient advocacy engagement with respect to a broad range of patients' problems. A cross-sectional research design was employed with a sample of 94 social workers, 97 nurses, and 104 medical residents recruited from eight hospitals in Los Angeles. Bivariate correlations explored whether seven scales (Patient Advocacy Eagerness, Ethical Commitment, Skills, Tangible Support, Organizational Receptivity, Belief Other Professionals Engage, and Belief the Hospital Empowers Patients) were associated with patient advocacy engagement, measured by the validated Patient Advocacy Engagement Scale. Regression analysis examined whether these scales, when controlling for sociodemographic and setting variables, predicted patient advocacy engagement. While all seven predictor scales were significantly associated with patient advocacy engagement in correlational analyses, only Eagerness, Skills, and Belief the Hospital Empowers Patients predicted patient advocacy engagement in regression analyses. Additionally, younger professionals engaged in higher levels of patient advocacy than older professionals, and social workers engaged in greater patient advocacy than nurses. Limitations and the utility of these findings for acute-care hospitals are discussed.",Predicting Patient Advocacy Engagement: A Multiple Regression Analysis Using Data From Health Professionals in Acute-Care Hospitals.,2015,United States,Soc Work Health Care
,Addressing the Needs of Individuals with Autism: Role of Hospital-Based Social Workers in Implementation of a Patient-Centered Care Plan.,2015,United States,Health Soc Work
"The study reported in this article was conducted in response to Utah service provider concerns that men with hemophilia may be disengaged from their local community-based support network. This study explored the challenges, adaptations, and needs of men with hemophilia from the perspective of Hemophilia Treatment Center (HTC) social workers. Utah's two active HTC social workers participated in face-to-face interviews. Fourteen HTC social workers from surrounding regions completed written interviews. The researcher used a qualitative, grounded theory approach to analyze the data. Resilience theory provided a lens for interpreting the results. Findings from these professionals indicate that men with hemophilia appear to be ambivalent toward services that are available to them for reasons that include work and insurance status, prior personal history with the bleeding disorders community, strength of relationship with local service providers, degree of customization of HTC services, and the desire to maintain personal independence. Understanding this dynamic may be helpful in developing services that are more specifically tailored to the needs of men with hemophilia, in addition to potentially providing stronger community-based support to men with other genetic disorders.",Social Worker Perceptions and Observations Regarding Men's Management of Hemophilia and Use of Community-Based Support.,2015,United States,Health Soc Work
